ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
409,17.079999923706055,337.3315609863281,FIO00883,45.0--60,45.0--94,0.003,0.003,0.005,0.99,0.94,0.8707425,5.87,MS2,"[95.0861, 97.102, 100.0761, 111.1168, 114.0914, 123.1168, 125.1325, 128.107, 135.1168, 136.1203, 137.1324, 139.1117, 142.1227, 149.1325, 150.136, 156.1384, 163.1483, 167.1432, 170.1542, 177.1641, 181.159, 191.1798, 195.1746, 198.1856, 205.1953, 207.2111, 209.1902, 212.2011, 219.2112, 221.2268, 223.2059, 226.2169, 233.2267, 240.2326, 247.2424, 251.2373, 254.2481, 261.258, 279.2683, 303.305, 304.3086, 321.3157, 322.3193, 338.3423, 339.3457]",UAUDZVJPLUQNMU-KTKRTIGZSA-N,"[303.3049011230469, 322.31500244140625, 303.314208984375, 321.3190002441406, 339.3443908691406, 360.3236083984375, 338.34442138671875, 320.3330993652344, 304.3103942871094, 303.3087463378906, 303.2996520996094, 297.3363952636719, 296.3338317871094, 279.2711181640625, 266.2860107421875, 261.26080322265625, 254.28590393066406, 254.2493133544922, 251.24037170410156, 247.24403381347656, 240.25083923339844, 233.2344207763672, 233.22799682617188, 226.21864318847656, 223.20758056640625, 221.22703552246094, 219.21255493164062, 212.2123565673828, 209.191162109375, 207.21275329589844, 205.19895935058594, 205.19296264648438, 198.18658447265625, 195.17654418945312, 192.18478393554688, 191.18167114257812, 184.20767211914062, 181.1609649658203, 178.1687774658203, 177.16629028320312, 170.18142700195312, 167.15248107910156, 164.15354919433594, 163.15048217773438, 156.14051818847656, 150.13714599609375, 149.13563537597656, 142.13265991210938, 142.11705017089844, 140.1165313720703, 139.11756896972656, 138.13467407226562, 137.1343994140625, 136.12265014648438, 135.1302032470703, 128.14559936523438, 128.10955810546875, 126.10638427734375, 125.13398742675781, 124.12030029296875, 123.12720489501953, 122.10763549804688, 114.09542083740234, 112.12097930908203, 112.0857162475586, 111.12445068359375, 111.09725952148438, 110.09912872314453, 108.09077453613281, 100.11216735839844, 100.07819366455078, 98.1065444946289, 98.07428741455078, 97.10406494140625, 96.09014129638672, 95.09098052978516, 86.10177612304688, 86.0658950805664, 85.10357666015625, 84.08881378173828, 83.2066879272461, 83.09030151367188, 82.07439422607422, 72.08423614501953, 72.04644775390625, 71.08834075927734, 70.07339477539062, 69.20824432373047, 68.05902099609375, 67.05671691894531, 58.07188034057617, 57.07221984863281, 56.05886459350586, 55.056854248046875]","[9278.0, 8153.0, 5016.0, 33691.0, 186682.0, 123111.0, 596.3333129882812, 348.6666564941406, 226.6666717529297, 797.3333129882812, 492.0, 255.0, 875.6666870117188, 132.6666717529297, 132.3333282470703, 185.6666717529297, 266.3333435058594, 159.0, 199.0, 324.3333435058594, 212.3333282470703, 133.3333282470703, 292.6666564941406, 172.3333282470703, 173.0, 146.3333282470703, 282.0, 212.3333282470703, 226.3333282470703, 145.6666717529297, 391.6666564941406, 336.3333435058594, 225.6666717529297, 281.6666564941406, 161.6666717529297, 591.3333129882812, 92.66666412353516, 380.0, 227.6666717529297, 983.3333129882812, 176.0, 264.0, 302.3333435058594, 2056.0, 603.3333129882812, 756.6666870117188, 4162.0, 906.0, 1007.6666870117188, 271.6666564941406, 1773.6666259765625, 190.0, 978.0, 958.0, 880.6666870117188, 236.3333282470703, 2036.3333740234375, 338.3333435058594, 728.6666870117188, 331.0, 380.6666564941406, 975.3333129882812, 3335.666748046875, 423.3333435058594, 501.6666564941406, 818.0, 3972.0, 202.6666717529297, 563.3333129882812, 382.0, 3966.0, 787.3333129882812, 483.0, 6885.0, 667.0, 8352.0, 668.0, 2638.666748046875, 3652.333251953125, 1150.0, 93.66666412353516, 18305.666015625, 579.6666870117188, 1772.0, 1116.3333740234375, 8933.6669921875, 1202.6666259765625, 128.0, 349.3333435058594, 4431.66650390625, 852.0, 20208.0, 590.3333129882812, 11144.6669921875]"
409,17.079999923706055,337.3315609863281,FIO00884,26.0--32,26.0--94,0.003,0.005,0.006,0.98,0.92,0.84268904,5.63,MS2,"[95.0864, 97.102, 100.0762, 111.1171, 114.0916, 123.117, 128.1072, 135.1169, 136.1203, 137.1325, 139.1119, 142.1229, 149.1327, 156.1385, 163.1484, 167.1432, 170.1542, 177.1638, 181.159, 191.1797, 198.1858, 212.2007, 296.3312, 303.3052, 321.3148, 338.3418]",UAUDZVJPLUQNMU-KTKRTIGZSA-N,"[303.3049011230469, 322.31500244140625, 303.314208984375, 321.3190002441406, 339.3443908691406, 360.3236083984375, 338.34442138671875, 320.3330993652344, 304.3103942871094, 303.3087463378906, 303.2996520996094, 297.3363952636719, 296.3338317871094, 279.2711181640625, 266.2860107421875, 261.26080322265625, 254.28590393066406, 254.2493133544922, 251.24037170410156, 247.24403381347656, 240.25083923339844, 233.2344207763672, 233.22799682617188, 226.21864318847656, 223.20758056640625, 221.22703552246094, 219.21255493164062, 212.2123565673828, 209.191162109375, 207.21275329589844, 205.19895935058594, 205.19296264648438, 198.18658447265625, 195.17654418945312, 192.18478393554688, 191.18167114257812, 184.20767211914062, 181.1609649658203, 178.1687774658203, 177.16629028320312, 170.18142700195312, 167.15248107910156, 164.15354919433594, 163.15048217773438, 156.14051818847656, 150.13714599609375, 149.13563537597656, 142.13265991210938, 142.11705017089844, 140.1165313720703, 139.11756896972656, 138.13467407226562, 137.1343994140625, 136.12265014648438, 135.1302032470703, 128.14559936523438, 128.10955810546875, 126.10638427734375, 125.13398742675781, 124.12030029296875, 123.12720489501953, 122.10763549804688, 114.09542083740234, 112.12097930908203, 112.0857162475586, 111.12445068359375, 111.09725952148438, 110.09912872314453, 108.09077453613281, 100.11216735839844, 100.07819366455078, 98.1065444946289, 98.07428741455078, 97.10406494140625, 96.09014129638672, 95.09098052978516, 86.10177612304688, 86.0658950805664, 85.10357666015625, 84.08881378173828, 83.2066879272461, 83.09030151367188, 82.07439422607422, 72.08423614501953, 72.04644775390625, 71.08834075927734, 70.07339477539062, 69.20824432373047, 68.05902099609375, 67.05671691894531, 58.07188034057617, 57.07221984863281, 56.05886459350586, 55.056854248046875]","[9278.0, 8153.0, 5016.0, 33691.0, 186682.0, 123111.0, 596.3333129882812, 348.6666564941406, 226.6666717529297, 797.3333129882812, 492.0, 255.0, 875.6666870117188, 132.6666717529297, 132.3333282470703, 185.6666717529297, 266.3333435058594, 159.0, 199.0, 324.3333435058594, 212.3333282470703, 133.3333282470703, 292.6666564941406, 172.3333282470703, 173.0, 146.3333282470703, 282.0, 212.3333282470703, 226.3333282470703, 145.6666717529297, 391.6666564941406, 336.3333435058594, 225.6666717529297, 281.6666564941406, 161.6666717529297, 591.3333129882812, 92.66666412353516, 380.0, 227.6666717529297, 983.3333129882812, 176.0, 264.0, 302.3333435058594, 2056.0, 603.3333129882812, 756.6666870117188, 4162.0, 906.0, 1007.6666870117188, 271.6666564941406, 1773.6666259765625, 190.0, 978.0, 958.0, 880.6666870117188, 236.3333282470703, 2036.3333740234375, 338.3333435058594, 728.6666870117188, 331.0, 380.6666564941406, 975.3333129882812, 3335.666748046875, 423.3333435058594, 501.6666564941406, 818.0, 3972.0, 202.6666717529297, 563.3333129882812, 382.0, 3966.0, 787.3333129882812, 483.0, 6885.0, 667.0, 8352.0, 668.0, 2638.666748046875, 3652.333251953125, 1150.0, 93.66666412353516, 18305.666015625, 579.6666870117188, 1772.0, 1116.3333740234375, 8933.6669921875, 1202.6666259765625, 128.0, 349.3333435058594, 4431.66650390625, 852.0, 20208.0, 590.3333129882812, 11144.6669921875]"
261,13.876999855041504,281.2723874023437,MSBNK-CASMI_2016-SM845901,7.0--18,7.0--13,-0.001,0.001,0.001,0.71,0.92,0.83791965,5.39,EXP,"[55.0544, 57.0701, 69.0699, 71.0856, 83.0855, 85.1012, 97.1012]",JMXKCYUTURMERF-UHFFFAOYSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
261,13.876999855041504,281.2723874023437,MoNA-SM845901,7.0--18,7.0--13,-0.001,0.001,0.001,0.71,0.92,0.83791965,5.39,EXP,"[55.0544, 57.0701, 69.0699, 71.0856, 83.0855, 85.1012, 97.1012]",JMXKCYUTURMERF-UHFFFAOYSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
261,13.876999855041504,281.2723874023437,SM845901,7.0--18,7.0--13,-0.001,0.001,0.001,0.71,0.92,0.83791965,5.39,MS2,"[55.0544, 57.0701, 69.0699, 71.0856, 83.0855, 85.1012, 97.1012]",JMXKCYUTURMERF-UHFFFAOYSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
261,13.876999855041504,281.2723874023437,MSBNK-LCSB-LU121203,5.0--29,5.0--13,0,0,0.001,0.78,0.91,0.8203111,5.12,EXP,"[55.0542, 57.0699, 69.0698, 71.0855, 85.1012]",AXTGDCSMTYGJND-UHFFFAOYSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
261,13.876999855041504,281.2723874023437,MoNA-LU121203,5.0--29,5.0--13,-0.001,0,0.001,0.78,0.91,0.8203111,5.12,EXP,"[55.0542, 57.0699, 69.0698, 71.0855, 85.1012]",AXTGDCSMTYGJND-UHFFFAOYSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
261,13.876999855041504,281.2723874023437,LU121203,5.0--29,5.0--13,0,0,0.001,0.78,0.91,0.8203111,5.12,MS2,"[55.0542, 57.0699, 69.0698, 71.0855, 85.1012]",AXTGDCSMTYGJND-UHFFFAOYSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
261,13.876999855041504,281.2723874023437,MSV000094528,11.0--34,11.0--13,-0.001,0.001,0.001,1,0.93,0.812301,5.9,EXP,"[55.053951, 57.069541, 69.069473, 71.085128, 83.08506, 85.100753, 95.085128, 97.100708, 135.116394, 149.131668, 163.147552]",FATBGEAMYMYZAF-KTKRTIGZSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
261,13.876999855041504,281.2723874023437,MSV000094528,11.0--44,11.0--13,-0.001,0.001,0.001,0.99,0.93,0.812301,5.86,EXP,"[55.054201, 57.069751, 69.069722, 71.085294, 83.085247, 85.100831, 95.085298, 97.100867, 135.116556, 149.132011, 163.147848]",FATBGEAMYMYZAF-KTKRTIGZSA-N,"[163.15138244628906, 149.1343536376953, 135.11854553222656, 97.10279846191406, 95.08952331542969, 95.08556365966797, 85.10221862792969, 83.08724212646484, 71.09148406982422, 71.08692169189453, 69.07164001464844, 57.071022033691406, 55.05596160888672]","[132.3333282470703, 300.3333435058594, 335.6666564941406, 484.3333435058594, 568.6666870117188, 610.3333129882812, 159.0, 707.3333129882812, 41.66666793823242, 300.6666564941406, 1210.3333740234375, 1013.6666870117188, 891.3333129882812]"
