ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
373,16.785999298095703,318.254382,MSBNK-Eawag-EQ369903,14.0--47,14.0--44,0.001,0.001,0.001,0.92,0.92,0.8834486,5.35,EXP,"[55.0542, 67.0542, 79.0542, 81.0698, 93.0698, 105.0698, 109.101, 121.0648, 121.1012, 131.0856, 135.0804, 135.1168, 145.1013, 175.1117]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[319.29180908203125, 336.32281494140625, 320.2680969238281, 336.28680419921875, 341.2438049316406, 245.22689819335938, 287.2366027832031, 295.2633056640625, 269.22796630859375, 245.22923278808594, 203.18130493164062, 191.17799377441406, 189.12904357910156, 185.13467407226562, 177.1654052734375, 175.15040588378906, 175.11476135253906, 163.14974975585938, 162.1367645263672, 161.1313934326172, 149.13470458984375, 147.11935424804688, 145.1033935546875, 143.08712768554688, 135.1227264404297, 135.08059692382812, 133.1037139892578, 131.08706665039062, 129.07192993164062, 123.11869812011719, 122.10682678222656, 121.10376739501953, 121.06621551513672, 120.09093475341797, 109.10562133789062, 109.09933471679688, 107.08750915527344, 105.07127380371094, 93.07209014892578, 85.06629943847656, 81.07210540771484, 79.05546569824219, 67.05607604980469, 55.05607223510742]","[4241.0, 22319.0, 32560.0, 15568.0, 11993.0, 8302.0, 19028.0, 21017.0, 172.3333282470703, 345.3333435058594, 239.0, 145.6666717529297, 132.6666717529297, 280.3333435058594, 213.0, 394.3333435058594, 213.0, 336.6666564941406, 119.33333587646484, 637.0, 365.0, 938.6666870117188, 294.0, 281.6666564941406, 453.0, 307.3333435058594, 1274.6666259765625, 578.0, 310.0, 393.6666564941406, 174.6666717529297, 1318.0, 86.66666412353516, 190.6666717529297, 615.6666870117188, 752.3333129882812, 910.6666870117188, 926.0, 1194.6666259765625, 241.0, 1622.6666259765625, 910.3333129882812, 1534.3333740234375, 1452.3333740234375]"
373,16.785999298095703,318.254382,MoNA-EQ369903,14.0--47,14.0--44,0.001,0.001,0.001,0.92,0.92,0.8834486,5.35,EXP,"[55.0542, 67.0542, 79.0542, 81.0698, 93.0698, 105.0698, 109.101, 121.0648, 121.1012, 131.0856, 135.0804, 135.1168, 145.1013, 175.1117]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[319.29180908203125, 336.32281494140625, 320.2680969238281, 336.28680419921875, 341.2438049316406, 245.22689819335938, 287.2366027832031, 295.2633056640625, 269.22796630859375, 245.22923278808594, 203.18130493164062, 191.17799377441406, 189.12904357910156, 185.13467407226562, 177.1654052734375, 175.15040588378906, 175.11476135253906, 163.14974975585938, 162.1367645263672, 161.1313934326172, 149.13470458984375, 147.11935424804688, 145.1033935546875, 143.08712768554688, 135.1227264404297, 135.08059692382812, 133.1037139892578, 131.08706665039062, 129.07192993164062, 123.11869812011719, 122.10682678222656, 121.10376739501953, 121.06621551513672, 120.09093475341797, 109.10562133789062, 109.09933471679688, 107.08750915527344, 105.07127380371094, 93.07209014892578, 85.06629943847656, 81.07210540771484, 79.05546569824219, 67.05607604980469, 55.05607223510742]","[4241.0, 22319.0, 32560.0, 15568.0, 11993.0, 8302.0, 19028.0, 21017.0, 172.3333282470703, 345.3333435058594, 239.0, 145.6666717529297, 132.6666717529297, 280.3333435058594, 213.0, 394.3333435058594, 213.0, 336.6666564941406, 119.33333587646484, 637.0, 365.0, 938.6666870117188, 294.0, 281.6666564941406, 453.0, 307.3333435058594, 1274.6666259765625, 578.0, 310.0, 393.6666564941406, 174.6666717529297, 1318.0, 86.66666412353516, 190.6666717529297, 615.6666870117188, 752.3333129882812, 910.6666870117188, 926.0, 1194.6666259765625, 241.0, 1622.6666259765625, 910.3333129882812, 1534.3333740234375, 1452.3333740234375]"
373,16.785999298095703,318.254382,EQ369903,14.0--47,14.0--44,0.001,0.001,0.001,0.92,0.92,0.8834486,5.35,MS2,"[55.0542, 67.0542, 79.0542, 81.0698, 93.0698, 105.0698, 109.101, 121.0648, 121.1012, 131.0856, 135.0804, 135.1168, 145.1013, 175.1117]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[319.29180908203125, 336.32281494140625, 320.2680969238281, 336.28680419921875, 341.2438049316406, 245.22689819335938, 287.2366027832031, 295.2633056640625, 269.22796630859375, 245.22923278808594, 203.18130493164062, 191.17799377441406, 189.12904357910156, 185.13467407226562, 177.1654052734375, 175.15040588378906, 175.11476135253906, 163.14974975585938, 162.1367645263672, 161.1313934326172, 149.13470458984375, 147.11935424804688, 145.1033935546875, 143.08712768554688, 135.1227264404297, 135.08059692382812, 133.1037139892578, 131.08706665039062, 129.07192993164062, 123.11869812011719, 122.10682678222656, 121.10376739501953, 121.06621551513672, 120.09093475341797, 109.10562133789062, 109.09933471679688, 107.08750915527344, 105.07127380371094, 93.07209014892578, 85.06629943847656, 81.07210540771484, 79.05546569824219, 67.05607604980469, 55.05607223510742]","[4241.0, 22319.0, 32560.0, 15568.0, 11993.0, 8302.0, 19028.0, 21017.0, 172.3333282470703, 345.3333435058594, 239.0, 145.6666717529297, 132.6666717529297, 280.3333435058594, 213.0, 394.3333435058594, 213.0, 336.6666564941406, 119.33333587646484, 637.0, 365.0, 938.6666870117188, 294.0, 281.6666564941406, 453.0, 307.3333435058594, 1274.6666259765625, 578.0, 310.0, 393.6666564941406, 174.6666717529297, 1318.0, 86.66666412353516, 190.6666717529297, 615.6666870117188, 752.3333129882812, 910.6666870117188, 926.0, 1194.6666259765625, 241.0, 1622.6666259765625, 910.3333129882812, 1534.3333740234375, 1452.3333740234375]"
373,16.785999298095703,318.254382,MSBNK-Eawag-EQ369904,15.0--53,15.0--44,0.001,0.001,0.001,0.96,0.92,0.8419528,5.39,EXP,"[55.0542, 67.0542, 79.0542, 81.0698, 93.0699, 105.0699, 109.1012, 120.0933, 121.0648, 121.1012, 131.0856, 135.0804, 135.1167, 145.1011, 175.1115]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[319.29180908203125, 336.32281494140625, 320.2680969238281, 336.28680419921875, 341.2438049316406, 245.22689819335938, 287.2366027832031, 295.2633056640625, 269.22796630859375, 245.22923278808594, 203.18130493164062, 191.17799377441406, 189.12904357910156, 185.13467407226562, 177.1654052734375, 175.15040588378906, 175.11476135253906, 163.14974975585938, 162.1367645263672, 161.1313934326172, 149.13470458984375, 147.11935424804688, 145.1033935546875, 143.08712768554688, 135.1227264404297, 135.08059692382812, 133.1037139892578, 131.08706665039062, 129.07192993164062, 123.11869812011719, 122.10682678222656, 121.10376739501953, 121.06621551513672, 120.09093475341797, 109.10562133789062, 109.09933471679688, 107.08750915527344, 105.07127380371094, 93.07209014892578, 85.06629943847656, 81.07210540771484, 79.05546569824219, 67.05607604980469, 55.05607223510742]","[4241.0, 22319.0, 32560.0, 15568.0, 11993.0, 8302.0, 19028.0, 21017.0, 172.3333282470703, 345.3333435058594, 239.0, 145.6666717529297, 132.6666717529297, 280.3333435058594, 213.0, 394.3333435058594, 213.0, 336.6666564941406, 119.33333587646484, 637.0, 365.0, 938.6666870117188, 294.0, 281.6666564941406, 453.0, 307.3333435058594, 1274.6666259765625, 578.0, 310.0, 393.6666564941406, 174.6666717529297, 1318.0, 86.66666412353516, 190.6666717529297, 615.6666870117188, 752.3333129882812, 910.6666870117188, 926.0, 1194.6666259765625, 241.0, 1622.6666259765625, 910.3333129882812, 1534.3333740234375, 1452.3333740234375]"
373,16.785999298095703,318.254382,MoNA-EQ369904,15.0--53,15.0--44,0.001,0.001,0.001,0.96,0.92,0.8419528,5.39,EXP,"[55.0542, 67.0542, 79.0542, 81.0698, 93.0699, 105.0699, 109.1012, 120.0933, 121.0648, 121.1012, 131.0856, 135.0804, 135.1167, 145.1011, 175.1115]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[319.29180908203125, 336.32281494140625, 320.2680969238281, 336.28680419921875, 341.2438049316406, 245.22689819335938, 287.2366027832031, 295.2633056640625, 269.22796630859375, 245.22923278808594, 203.18130493164062, 191.17799377441406, 189.12904357910156, 185.13467407226562, 177.1654052734375, 175.15040588378906, 175.11476135253906, 163.14974975585938, 162.1367645263672, 161.1313934326172, 149.13470458984375, 147.11935424804688, 145.1033935546875, 143.08712768554688, 135.1227264404297, 135.08059692382812, 133.1037139892578, 131.08706665039062, 129.07192993164062, 123.11869812011719, 122.10682678222656, 121.10376739501953, 121.06621551513672, 120.09093475341797, 109.10562133789062, 109.09933471679688, 107.08750915527344, 105.07127380371094, 93.07209014892578, 85.06629943847656, 81.07210540771484, 79.05546569824219, 67.05607604980469, 55.05607223510742]","[4241.0, 22319.0, 32560.0, 15568.0, 11993.0, 8302.0, 19028.0, 21017.0, 172.3333282470703, 345.3333435058594, 239.0, 145.6666717529297, 132.6666717529297, 280.3333435058594, 213.0, 394.3333435058594, 213.0, 336.6666564941406, 119.33333587646484, 637.0, 365.0, 938.6666870117188, 294.0, 281.6666564941406, 453.0, 307.3333435058594, 1274.6666259765625, 578.0, 310.0, 393.6666564941406, 174.6666717529297, 1318.0, 86.66666412353516, 190.6666717529297, 615.6666870117188, 752.3333129882812, 910.6666870117188, 926.0, 1194.6666259765625, 241.0, 1622.6666259765625, 910.3333129882812, 1534.3333740234375, 1452.3333740234375]"
373,16.785999298095703,318.254382,EQ369904,15.0--53,15.0--44,0.001,0.001,0.001,0.96,0.92,0.8419528,5.39,MS2,"[55.0542, 67.0542, 79.0542, 81.0698, 93.0699, 105.0699, 109.1012, 120.0933, 121.0648, 121.1012, 131.0856, 135.0804, 135.1167, 145.1011, 175.1115]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[319.29180908203125, 336.32281494140625, 320.2680969238281, 336.28680419921875, 341.2438049316406, 245.22689819335938, 287.2366027832031, 295.2633056640625, 269.22796630859375, 245.22923278808594, 203.18130493164062, 191.17799377441406, 189.12904357910156, 185.13467407226562, 177.1654052734375, 175.15040588378906, 175.11476135253906, 163.14974975585938, 162.1367645263672, 161.1313934326172, 149.13470458984375, 147.11935424804688, 145.1033935546875, 143.08712768554688, 135.1227264404297, 135.08059692382812, 133.1037139892578, 131.08706665039062, 129.07192993164062, 123.11869812011719, 122.10682678222656, 121.10376739501953, 121.06621551513672, 120.09093475341797, 109.10562133789062, 109.09933471679688, 107.08750915527344, 105.07127380371094, 93.07209014892578, 85.06629943847656, 81.07210540771484, 79.05546569824219, 67.05607604980469, 55.05607223510742]","[4241.0, 22319.0, 32560.0, 15568.0, 11993.0, 8302.0, 19028.0, 21017.0, 172.3333282470703, 345.3333435058594, 239.0, 145.6666717529297, 132.6666717529297, 280.3333435058594, 213.0, 394.3333435058594, 213.0, 336.6666564941406, 119.33333587646484, 637.0, 365.0, 938.6666870117188, 294.0, 281.6666564941406, 453.0, 307.3333435058594, 1274.6666259765625, 578.0, 310.0, 393.6666564941406, 174.6666717529297, 1318.0, 86.66666412353516, 190.6666717529297, 615.6666870117188, 752.3333129882812, 910.6666870117188, 926.0, 1194.6666259765625, 241.0, 1622.6666259765625, 910.3333129882812, 1534.3333740234375, 1452.3333740234375]"
218,4.673999786376953,193.1086758544922,MSBNK-Eawag-EQ361307,10.0--40,10.0--19,0.002,0,0.001,0.96,0.83,0.8245493,5.43,EXP,"[55.0178, 58.0651, 77.0385, 79.0541, 103.0542, 115.0541, 122.0362, 133.0647, 135.0439, 147.044]",SHXWCVYOXRDMCX-UHFFFAOYSA-N,"[133.06460571289062, 135.04379272460938, 164.0782928466797, 163.07479858398438, 195.12179565429688, 163.08053588867188, 163.07533264160156, 147.0453643798828, 135.0482177734375, 135.03790283203125, 122.0382080078125, 115.0556411743164, 106.07500457763672, 103.05731964111328, 103.05249786376953, 79.05694580078125, 77.04064178466797, 58.06660842895508, 55.01900100708008]","[7014.0, 5610.0, 6422.0, 52309.0, 7349.0, 337.6666564941406, 321.6666564941406, 79.33333587646484, 3238.0, 300.6666564941406, 191.3333282470703, 172.3333282470703, 541.0, 955.0, 627.0, 1310.3333740234375, 1086.6666259765625, 535.6666870117188, 343.3333435058594]"
218,4.673999786376953,193.1086758544922,MoNA-EQ361307,10.0--40,10.0--19,0.002,0,0.001,0.96,0.83,0.8245493,5.43,EXP,"[55.0178, 58.0651, 77.0385, 79.0541, 103.0542, 115.0541, 122.0362, 133.0647, 135.0439, 147.044]",SHXWCVYOXRDMCX-UHFFFAOYSA-N,"[133.06460571289062, 135.04379272460938, 164.0782928466797, 163.07479858398438, 195.12179565429688, 163.08053588867188, 163.07533264160156, 147.0453643798828, 135.0482177734375, 135.03790283203125, 122.0382080078125, 115.0556411743164, 106.07500457763672, 103.05731964111328, 103.05249786376953, 79.05694580078125, 77.04064178466797, 58.06660842895508, 55.01900100708008]","[7014.0, 5610.0, 6422.0, 52309.0, 7349.0, 337.6666564941406, 321.6666564941406, 79.33333587646484, 3238.0, 300.6666564941406, 191.3333282470703, 172.3333282470703, 541.0, 955.0, 627.0, 1310.3333740234375, 1086.6666259765625, 535.6666870117188, 343.3333435058594]"
218,4.673999786376953,193.1086758544922,EQ361307,10.0--40,10.0--19,0.002,0,0.001,0.96,0.83,0.8245493,5.43,MS2,"[55.0178, 58.0651, 77.0385, 79.0541, 103.0542, 115.0541, 122.0362, 133.0647, 135.0439, 147.044]",SHXWCVYOXRDMCX-UHFFFAOYSA-N,"[133.06460571289062, 135.04379272460938, 164.0782928466797, 163.07479858398438, 195.12179565429688, 163.08053588867188, 163.07533264160156, 147.0453643798828, 135.0482177734375, 135.03790283203125, 122.0382080078125, 115.0556411743164, 106.07500457763672, 103.05731964111328, 103.05249786376953, 79.05694580078125, 77.04064178466797, 58.06660842895508, 55.01900100708008]","[7014.0, 5610.0, 6422.0, 52309.0, 7349.0, 337.6666564941406, 321.6666564941406, 79.33333587646484, 3238.0, 300.6666564941406, 191.3333282470703, 172.3333282470703, 541.0, 955.0, 627.0, 1310.3333740234375, 1086.6666259765625, 535.6666870117188, 343.3333435058594]"
218,4.673999786376953,193.1086758544922,MSV000094528,6.0--66,6.0--19,0.002,0,0.001,0.93,0.82,0.81707203,5,EXP,"[77.038345, 79.053901, 103.053909, 115.053939, 133.064834, 135.056089]",LFLCQYMIXBDOQL-SNVBAGLBSA-N,"[133.06460571289062, 135.04379272460938, 164.0782928466797, 163.07479858398438, 195.12179565429688, 163.08053588867188, 163.07533264160156, 147.0453643798828, 135.0482177734375, 135.03790283203125, 122.0382080078125, 115.0556411743164, 106.07500457763672, 103.05731964111328, 103.05249786376953, 79.05694580078125, 77.04064178466797, 58.06660842895508, 55.01900100708008]","[7014.0, 5610.0, 6422.0, 52309.0, 7349.0, 337.6666564941406, 321.6666564941406, 79.33333587646484, 3238.0, 300.6666564941406, 191.3333282470703, 172.3333282470703, 541.0, 955.0, 627.0, 1310.3333740234375, 1086.6666259765625, 535.6666870117188, 343.3333435058594]"
