ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
103,12.706000328063965,326.0695676,MSBNK-Antwerp_Univ-AN118301,7.0--11,7.0--8,0.001,0.004,0.004,0.59,0.87,0.88372767,5.42,EXP,"[77.0387, 152.0612, 153.0699, 168.0568, 215.0271, 228.0908, 251.0479]",XZZNDPSIHUTMOC-UHFFFAOYSA-N,"[251.0572509765625, 228.09373474121094, 215.0386505126953, 215.02755737304688, 168.05882263183594, 153.07656860351562, 152.0735626220703, 77.04020690917969]","[344.3333435058594, 444.6666564941406, 315.3333435058594, 1187.3333740234375, 294.0, 665.6666870117188, 276.6666564941406, 558.0]"
182,16.78700065612793,318.25386323242185,MSBNK-Eawag-EQ369903,13.0--47,13.0--45,0.002,0.001,0.002,0.92,0.91,0.8619849,5.26,EXP,"[79.0542, 81.0698, 93.0698, 105.0698, 119.0856, 121.0648, 131.0856, 135.0804, 135.1168, 145.1013, 149.0961, 159.1167, 175.1117]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[336.327392578125, 269.2261047363281, 287.2359924316406, 336.2923889160156, 341.2438049316406, 320.2652893066406, 245.22740173339844, 287.2375793457031, 269.2283935546875, 259.2090148925781, 245.22866821289062, 243.2125701904297, 203.14341735839844, 199.14962768554688, 189.16835021972656, 189.14453125, 185.1345672607422, 177.1661376953125, 175.11404418945312, 163.14585876464844, 162.1387939453125, 161.0979461669922, 159.11854553222656, 157.1035919189453, 151.11329650878906, 149.1014404296875, 148.12216186523438, 145.1072998046875, 145.10206604003906, 143.08729553222656, 136.1212158203125, 135.11924743652344, 135.0827178955078, 131.08792114257812, 129.07228088378906, 122.10665130615234, 121.0665054321289, 120.09072875976562, 119.08682250976562, 108.09070587158203, 105.07323455810547, 94.07521057128906, 93.0810775756836, 81.07262420654297, 79.05428314208984]","[16833.0, 15548.0, 29417.0, 34767.0, 13629.0, 39467.0, 16497.0, 159.0, 225.3333282470703, 145.6666717529297, 418.3333435058594, 119.0, 159.0, 212.3333282470703, 265.6666564941406, 267.6666564941406, 405.6666564941406, 373.3333435058594, 307.0, 421.3333435058594, 173.6666717529297, 286.3333435058594, 240.3333282470703, 360.3333435058594, 227.0, 242.0, 246.0, 296.6666564941406, 435.6666564941406, 404.3333435058594, 146.3333282470703, 878.3333129882812, 296.0, 697.0, 336.0, 239.0, 149.6666717529297, 233.6666717529297, 1810.3333740234375, 166.0, 1158.6666259765625, 239.0, 148.0, 2807.0, 1018.0]"
182,16.78700065612793,318.25386323242185,MoNA-EQ369903,13.0--47,13.0--45,0.002,0.001,0.002,0.92,0.91,0.8619849,5.26,EXP,"[79.0542, 81.0698, 93.0698, 105.0698, 119.0856, 121.0648, 131.0856, 135.0804, 135.1168, 145.1013, 149.0961, 159.1167, 175.1117]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[336.327392578125, 269.2261047363281, 287.2359924316406, 336.2923889160156, 341.2438049316406, 320.2652893066406, 245.22740173339844, 287.2375793457031, 269.2283935546875, 259.2090148925781, 245.22866821289062, 243.2125701904297, 203.14341735839844, 199.14962768554688, 189.16835021972656, 189.14453125, 185.1345672607422, 177.1661376953125, 175.11404418945312, 163.14585876464844, 162.1387939453125, 161.0979461669922, 159.11854553222656, 157.1035919189453, 151.11329650878906, 149.1014404296875, 148.12216186523438, 145.1072998046875, 145.10206604003906, 143.08729553222656, 136.1212158203125, 135.11924743652344, 135.0827178955078, 131.08792114257812, 129.07228088378906, 122.10665130615234, 121.0665054321289, 120.09072875976562, 119.08682250976562, 108.09070587158203, 105.07323455810547, 94.07521057128906, 93.0810775756836, 81.07262420654297, 79.05428314208984]","[16833.0, 15548.0, 29417.0, 34767.0, 13629.0, 39467.0, 16497.0, 159.0, 225.3333282470703, 145.6666717529297, 418.3333435058594, 119.0, 159.0, 212.3333282470703, 265.6666564941406, 267.6666564941406, 405.6666564941406, 373.3333435058594, 307.0, 421.3333435058594, 173.6666717529297, 286.3333435058594, 240.3333282470703, 360.3333435058594, 227.0, 242.0, 246.0, 296.6666564941406, 435.6666564941406, 404.3333435058594, 146.3333282470703, 878.3333129882812, 296.0, 697.0, 336.0, 239.0, 149.6666717529297, 233.6666717529297, 1810.3333740234375, 166.0, 1158.6666259765625, 239.0, 148.0, 2807.0, 1018.0]"
182,16.78700065612793,318.25386323242185,EQ369903,13.0--47,13.0--45,0.002,0.001,0.002,0.92,0.91,0.8619849,5.26,MS2,"[79.0542, 81.0698, 93.0698, 105.0698, 119.0856, 121.0648, 131.0856, 135.0804, 135.1168, 145.1013, 149.0961, 159.1167, 175.1117]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[336.327392578125, 269.2261047363281, 287.2359924316406, 336.2923889160156, 341.2438049316406, 320.2652893066406, 245.22740173339844, 287.2375793457031, 269.2283935546875, 259.2090148925781, 245.22866821289062, 243.2125701904297, 203.14341735839844, 199.14962768554688, 189.16835021972656, 189.14453125, 185.1345672607422, 177.1661376953125, 175.11404418945312, 163.14585876464844, 162.1387939453125, 161.0979461669922, 159.11854553222656, 157.1035919189453, 151.11329650878906, 149.1014404296875, 148.12216186523438, 145.1072998046875, 145.10206604003906, 143.08729553222656, 136.1212158203125, 135.11924743652344, 135.0827178955078, 131.08792114257812, 129.07228088378906, 122.10665130615234, 121.0665054321289, 120.09072875976562, 119.08682250976562, 108.09070587158203, 105.07323455810547, 94.07521057128906, 93.0810775756836, 81.07262420654297, 79.05428314208984]","[16833.0, 15548.0, 29417.0, 34767.0, 13629.0, 39467.0, 16497.0, 159.0, 225.3333282470703, 145.6666717529297, 418.3333435058594, 119.0, 159.0, 212.3333282470703, 265.6666564941406, 267.6666564941406, 405.6666564941406, 373.3333435058594, 307.0, 421.3333435058594, 173.6666717529297, 286.3333435058594, 240.3333282470703, 360.3333435058594, 227.0, 242.0, 246.0, 296.6666564941406, 435.6666564941406, 404.3333435058594, 146.3333282470703, 878.3333129882812, 296.0, 697.0, 336.0, 239.0, 149.6666717529297, 233.6666717529297, 1810.3333740234375, 166.0, 1158.6666259765625, 239.0, 148.0, 2807.0, 1018.0]"
103,12.706000328063965,326.0695676,MSBNK-LCSB-LU049102,6.0--22,6.0--8,0.001,0.002,0.004,0.81,0.87,0.85013175,5.3,EXP,"[77.039, 152.0619, 153.0698, 215.0254, 228.0932, 251.0466]",XZZNDPSIHUTMOC-UHFFFAOYSA-N,"[251.0572509765625, 228.09373474121094, 215.0386505126953, 215.02755737304688, 168.05882263183594, 153.07656860351562, 152.0735626220703, 77.04020690917969]","[344.3333435058594, 444.6666564941406, 315.3333435058594, 1187.3333740234375, 294.0, 665.6666870117188, 276.6666564941406, 558.0]"
103,12.706000328063965,326.0695676,MoNA-LU049102,6.0--22,6.0--8,0.001,0.002,0.004,0.81,0.87,0.85013175,5.3,EXP,"[77.039, 152.0619, 153.0698, 215.0254, 228.0932, 251.0466]",XZZNDPSIHUTMOC-UHFFFAOYSA-N,"[251.0572509765625, 228.09373474121094, 215.0386505126953, 215.02755737304688, 168.05882263183594, 153.07656860351562, 152.0735626220703, 77.04020690917969]","[344.3333435058594, 444.6666564941406, 315.3333435058594, 1187.3333740234375, 294.0, 665.6666870117188, 276.6666564941406, 558.0]"
103,12.706000328063965,326.0695676,LU049102,6.0--22,6.0--8,0.001,0.002,0.004,0.81,0.87,0.85013175,5.3,MS2,"[77.039, 152.0619, 153.0698, 215.0254, 228.0932, 251.0466]",XZZNDPSIHUTMOC-UHFFFAOYSA-N,"[251.0572509765625, 228.09373474121094, 215.0386505126953, 215.02755737304688, 168.05882263183594, 153.07656860351562, 152.0735626220703, 77.04020690917969]","[344.3333435058594, 444.6666564941406, 315.3333435058594, 1187.3333740234375, 294.0, 665.6666870117188, 276.6666564941406, 558.0]"
103,12.706000328063965,326.0695676,MSBNK-CASMI_2016-SM879502,7.0--39,7.0--8,0.001,0.001,0.003,0.93,0.87,0.847498,5.56,EXP,"[77.0386, 152.0621, 153.0699, 168.057, 215.0257, 228.0934, 251.0468]",XZZNDPSIHUTMOC-UHFFFAOYSA-N,"[251.0572509765625, 228.09373474121094, 215.0386505126953, 215.02755737304688, 168.05882263183594, 153.07656860351562, 152.0735626220703, 77.04020690917969]","[344.3333435058594, 444.6666564941406, 315.3333435058594, 1187.3333740234375, 294.0, 665.6666870117188, 276.6666564941406, 558.0]"
103,12.706000328063965,326.0695676,MoNA-SM879502,7.0--39,7.0--8,0.001,0.001,0.003,0.93,0.87,0.847498,5.56,EXP,"[77.0386, 152.0621, 153.0699, 168.057, 215.0257, 228.0934, 251.0468]",XZZNDPSIHUTMOC-UHFFFAOYSA-N,"[251.0572509765625, 228.09373474121094, 215.0386505126953, 215.02755737304688, 168.05882263183594, 153.07656860351562, 152.0735626220703, 77.04020690917969]","[344.3333435058594, 444.6666564941406, 315.3333435058594, 1187.3333740234375, 294.0, 665.6666870117188, 276.6666564941406, 558.0]"
103,12.706000328063965,326.0695676,SM879502,7.0--39,7.0--8,0.001,0.001,0.003,0.93,0.87,0.847498,5.56,MS2,"[77.0386, 152.0621, 153.0699, 168.057, 215.0257, 228.0934, 251.0468]",XZZNDPSIHUTMOC-UHFFFAOYSA-N,"[251.0572509765625, 228.09373474121094, 215.0386505126953, 215.02755737304688, 168.05882263183594, 153.07656860351562, 152.0735626220703, 77.04020690917969]","[344.3333435058594, 444.6666564941406, 315.3333435058594, 1187.3333740234375, 294.0, 665.6666870117188, 276.6666564941406, 558.0]"
