ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
230,17.059999465942383,337.3321713378906,FIO00883,45.0--60,45.0--123,0.002,0.003,0.004,0.99,0.95,0.8695158,5.83,MS2,"[95.0861, 100.0761, 114.0914, 121.1012, 125.1325, 128.107, 137.1324, 139.1117, 142.1227, 149.1325, 150.136, 151.1481, 156.1384, 163.1483, 165.1641, 167.1432, 170.1542, 177.1641, 179.1796, 181.159, 184.1699, 191.1798, 195.1746, 198.1856, 205.1953, 209.1902, 212.2011, 219.2112, 221.2268, 223.2059, 226.2169, 233.2267, 237.2217, 247.2424, 254.2481, 268.2641, 279.2683, 282.2795, 296.2949, 303.305, 321.3157, 322.3193, 338.3423, 339.3457, 340.3487]",UAUDZVJPLUQNMU-KTKRTIGZSA-N,"[360.28741455078125, 341.35198974609375, 339.3431091308594, 360.3243103027344, 303.302490234375, 322.3193054199219, 321.3143005371094, 340.3460998535156, 340.35528564453125, 338.345703125, 322.3172302246094, 321.32916259765625, 321.31353759765625, 320.3344421386719, 303.31536865234375, 303.3021240234375, 297.3368835449219, 296.33453369140625, 296.29718017578125, 294.3176574707031, 282.2807312011719, 279.2699890136719, 268.2641296386719, 254.28643798828125, 254.25132751464844, 252.2638702392578, 248.24806213378906, 247.2441864013672, 240.2716522216797, 237.22335815429688, 235.2440185546875, 234.23260498046875, 233.22903442382812, 226.2589111328125, 226.228759765625, 223.2088623046875, 221.2281951904297, 220.2174530029297, 219.2131805419922, 212.21234130859375, 209.1989288330078, 209.18934631347656, 205.19879150390625, 205.18441772460938, 198.18283081054688, 195.1768341064453, 193.19735717773438, 192.1866455078125, 192.1814727783203, 191.17874145507812, 184.17149353027344, 181.1612091064453, 179.18165588378906, 178.1687774658203, 177.17584228515625, 177.16331481933594, 170.1562957763672, 168.14730834960938, 167.1802520751953, 167.14572143554688, 166.16151428222656, 165.15989685058594, 164.15380859375, 163.14866638183594, 156.17596435546875, 156.1411895751953, 153.16563415527344, 152.14935302734375, 151.1454315185547, 150.13827514648438, 149.13548278808594, 142.16053771972656, 142.12571716308594, 140.11978149414062, 139.15097045898438, 139.1170654296875, 138.1339874267578, 137.1282501220703, 128.1454620361328, 128.1106414794922, 126.14100646972656, 126.11009979248047, 125.10880279541016, 124.11971282958984, 121.10535430908203, 114.1341552734375, 114.0971450805664, 113.13369750976562, 112.10433959960938, 110.10552215576172, 100.08322143554688, 99.10008239746094, 98.10092163085938, 98.0681381225586, 96.08988189697266, 95.0888671875, 88.07698059082031, 85.11445617675781, 85.08909606933594, 84.08885192871094, 84.05245971679688, 83.2900390625, 83.22908020019531, 83.18651580810547, 83.08779907226562, 82.07426452636719, 72.08360290527344, 72.04656982421875, 71.22032165527344, 71.18431091308594, 71.0850830078125, 70.07289123535156, 69.22504425048828, 60.04686737060547, 58.07172393798828, 57.263038635253906, 57.21955490112305, 57.17079162597656, 56.058998107910156, 55.337989807128906, 55.21048355102539, 55.16352081298828, 55.05705642700195]","[116953.0, 10005.0, 328265.0, 171633.0, 16413.0, 14820.0, 46561.0, 36317.0, 58378.0, 1271.0, 409.6666564941406, 863.0, 1135.6666259765625, 569.0, 913.6666870117188, 1382.3333740234375, 565.3333129882812, 1816.6666259765625, 171.3333282470703, 212.3333282470703, 172.3333282470703, 253.6666717529297, 185.6666717529297, 481.0, 216.0, 159.0, 185.6666717529297, 435.0, 333.6666564941406, 321.3333435058594, 146.3333282470703, 134.0, 489.3333435058594, 159.3333282470703, 280.3333435058594, 306.6666564941406, 213.6666717529297, 159.3333282470703, 501.3333435058594, 319.3333435058594, 201.6666717529297, 324.3333435058594, 755.6666870117188, 289.3333435058594, 390.0, 420.3333435058594, 159.0, 186.3333282470703, 135.6666717529297, 923.0, 491.3333435058594, 619.6666870117188, 252.6666717529297, 327.3333435058594, 269.3333435058594, 1551.0, 664.6666870117188, 173.0, 98.33333587646484, 1002.3333129882812, 132.3333282470703, 352.0, 505.6666564941406, 3592.0, 297.3333435058594, 867.6666870117188, 155.3333282470703, 187.0, 660.3333129882812, 1144.6666259765625, 7725.33349609375, 366.0, 1805.3333740234375, 485.3333435058594, 415.0, 3366.0, 275.6666564941406, 1330.0, 382.6666564941406, 3190.666748046875, 139.0, 713.0, 5781.66650390625, 633.6666870117188, 11232.6669921875, 231.0, 5855.0, 111.66666412353516, 955.6666870117188, 1019.0, 7026.33349609375, 1021.6666870117188, 1477.0, 596.3333129882812, 1036.6666259765625, 14695.3330078125, 388.3333435058594, 342.6666564941406, 6199.0, 1963.6666259765625, 146.0, 162.0, 196.6666717529297, 158.3333282470703, 29663.666015625, 900.0, 2406.333251953125, 1900.3333740234375, 102.33333587646484, 125.33333587646484, 15721.6669921875, 1693.6666259765625, 161.0, 246.0, 1091.6666259765625, 179.3333282470703, 181.6666717529297, 174.0, 870.0, 144.3333282470703, 104.66666412353516, 144.0, 20074.0]"
152,15.868000030517578,523.3627805,RP025803,14.0--33,14.0--34,0.001,0.002,0.004,0.96,0.96,0.8683298,5.57,MS2,"[85.1007, 86.0958, 104.1067, 166.0623, 184.0727, 258.1102, 341.3051, 342.3087, 447.2873, 448.29, 506.3602, 507.3629, 508.3677, 524.3709]",IHNKQIMGVNPMTC-RUZDIDTESA-N,"[525.3712158203125, 524.3759765625, 508.35888671875, 507.3682556152344, 506.3608093261719, 488.2918701171875, 487.32391357421875, 463.2765197753906, 461.26446533203125, 448.29302978515625, 447.2891845703125, 444.2615966796875, 443.257080078125, 381.3009033203125, 342.3402099609375, 342.3111572265625, 341.3003234863281, 310.3155822753906, 310.29986572265625, 267.2707214355469, 258.1131286621094, 216.0651092529297, 184.08087158203125, 166.0648956298828, 142.02816772460938, 105.10608673095703, 104.11128234863281, 104.09113311767578, 87.10100555419922, 86.09854888916016, 85.10309600830078, 62.063232421875, 62.05915451049805, 60.08211898803711]","[28908.0, 3293.333251953125, 119.66666412353516, 705.0, 2498.0, 1245.3333740234375, 259.6666564941406, 252.3333282470703, 3482.0, 93.33333587646484, 382.0, 226.3333282470703, 741.3333129882812, 199.0, 369.6666564941406, 5445.66650390625, 21902.666015625, 2091.666748046875, 427.3333435058594, 462.3333435058594, 606.3333129882812, 320.0, 36845.0, 320.3333435058594, 255.6666717529297, 749.3333129882812, 14827.0, 650.0, 119.0, 1406.6666259765625, 765.0, 1743.6666259765625, 1114.0, 589.0]"
87,8.942999839782715,372.1922787597656,MSV000094528,18.0--73,18.0--31,0.001,0.001,0.002,0.99,0.97,0.84639114,5.6,EXP,"[135.080017, 159.080001, 173.095779, 197.095886, 209.096054, 211.111557, 223.111129, 225.127014, 235.111907, 237.126901, 249.127426, 251.141586, 253.158004, 263.143218, 267.137559, 277.158813, 278.165344, 291.17395]",PIDANAQULIKBQS-RNUIGHNZSA-N,"[291.18121337890625, 291.1756286621094, 278.16949462890625, 277.1660461425781, 277.1592712402344, 276.15179443359375, 269.15716552734375, 267.1391296386719, 264.1510925292969, 263.1515197753906, 263.1434631347656, 262.1374816894531, 253.1605224609375, 252.14898681640625, 251.1452178955078, 249.12757873535156, 248.1209259033203, 237.1286163330078, 236.1217803955078, 235.11215209960938, 225.129638671875, 223.1128692626953, 211.114013671875, 209.09849548339844, 197.09786987304688, 186.1016845703125, 173.1053009033203, 159.0885772705078, 159.0823211669922, 157.10081481933594, 135.08279418945312]","[92.66666412353516, 132.3333282470703, 212.3333282470703, 214.3333282470703, 296.3333435058594, 92.66666412353516, 92.66666412353516, 132.3333282470703, 137.0, 202.6666717529297, 410.3333435058594, 145.6666717529297, 172.3333282470703, 176.0, 468.3333435058594, 240.3333282470703, 145.6666717529297, 282.6666564941406, 379.0, 172.3333282470703, 199.3333282470703, 281.3333435058594, 339.0, 187.0, 172.3333282470703, 173.6666717529297, 189.3333282470703, 133.6666717529297, 429.0, 92.66666412353516, 445.0]"
87,8.942999839782715,372.1922787597656,MSV000094528,18.0--73,18.0--31,0.001,0.001,0.002,0.99,0.97,0.84639114,5.6,EXP,"[135.080017, 159.080001, 173.095779, 197.095886, 209.096054, 211.111557, 223.111129, 225.127014, 235.111907, 237.126953, 249.127426, 251.141586, 253.158004, 263.143218, 267.137512, 277.158813, 278.165344, 291.17395]",PIDANAQULIKBQS-RNUIGHNZSA-N,"[291.18121337890625, 291.1756286621094, 278.16949462890625, 277.1660461425781, 277.1592712402344, 276.15179443359375, 269.15716552734375, 267.1391296386719, 264.1510925292969, 263.1515197753906, 263.1434631347656, 262.1374816894531, 253.1605224609375, 252.14898681640625, 251.1452178955078, 249.12757873535156, 248.1209259033203, 237.1286163330078, 236.1217803955078, 235.11215209960938, 225.129638671875, 223.1128692626953, 211.114013671875, 209.09849548339844, 197.09786987304688, 186.1016845703125, 173.1053009033203, 159.0885772705078, 159.0823211669922, 157.10081481933594, 135.08279418945312]","[92.66666412353516, 132.3333282470703, 212.3333282470703, 214.3333282470703, 296.3333435058594, 92.66666412353516, 92.66666412353516, 132.3333282470703, 137.0, 202.6666717529297, 410.3333435058594, 145.6666717529297, 172.3333282470703, 176.0, 468.3333435058594, 240.3333282470703, 145.6666717529297, 282.6666564941406, 379.0, 172.3333282470703, 199.3333282470703, 281.3333435058594, 339.0, 187.0, 172.3333282470703, 173.6666717529297, 189.3333282470703, 133.6666717529297, 429.0, 92.66666412353516, 445.0]"
87,8.942999839782715,372.1922787597656,MSV000094528,13.0--51,13.0--31,0.001,0.001,0.002,0.98,0.97,0.84639114,5.4,EXP,"[135.079971, 159.079513, 173.095504, 197.095855, 211.110717, 223.111526, 225.126907, 235.112548, 237.126693, 253.156204, 267.136962, 277.158111, 291.173797]",PIDANAQULIKBQS-RNUIGHNZSA-N,"[291.18121337890625, 291.1756286621094, 278.16949462890625, 277.1660461425781, 277.1592712402344, 276.15179443359375, 269.15716552734375, 267.1391296386719, 264.1510925292969, 263.1515197753906, 263.1434631347656, 262.1374816894531, 253.1605224609375, 252.14898681640625, 251.1452178955078, 249.12757873535156, 248.1209259033203, 237.1286163330078, 236.1217803955078, 235.11215209960938, 225.129638671875, 223.1128692626953, 211.114013671875, 209.09849548339844, 197.09786987304688, 186.1016845703125, 173.1053009033203, 159.0885772705078, 159.0823211669922, 157.10081481933594, 135.08279418945312]","[92.66666412353516, 132.3333282470703, 212.3333282470703, 214.3333282470703, 296.3333435058594, 92.66666412353516, 92.66666412353516, 132.3333282470703, 137.0, 202.6666717529297, 410.3333435058594, 145.6666717529297, 172.3333282470703, 176.0, 468.3333435058594, 240.3333282470703, 145.6666717529297, 282.6666564941406, 379.0, 172.3333282470703, 199.3333282470703, 281.3333435058594, 339.0, 187.0, 172.3333282470703, 173.6666717529297, 189.3333282470703, 133.6666717529297, 429.0, 92.66666412353516, 445.0]"
151,15.868000030517578,481.3139828613281,RP025903,9.0--35,9.0--33,0.003,0.001,0.002,0.94,0.92,0.8459565,5.25,MS2,"[85.1007, 86.0959, 97.101, 104.1067, 166.0624, 181.0255, 184.0727, 186.0787, 258.1087]",RJZVWDTYEWCUAR-JOCHJYFZSA-N,"[504.3088073730469, 483.3305969238281, 463.2715148925781, 447.2900695800781, 444.25982666015625, 443.25592041015625, 381.3009033203125, 342.3240966796875, 342.3045349121094, 341.31036376953125, 311.3187255859375, 310.3142395019531, 267.27862548828125, 267.26953125, 258.1131591796875, 216.06666564941406, 216.06129455566406, 186.08978271484375, 184.07447814941406, 181.03013610839844, 173.0235595703125, 166.06491088867188, 155.01329040527344, 142.02816772460938, 105.1121826171875, 104.10765075683594, 97.1028060913086, 86.10543823242188, 86.09797668457031, 85.10311126708984, 62.062129974365234, 60.0833625793457, 60.08061599731445]","[12041.0, 27233.0, 252.3333282470703, 382.0, 226.3333282470703, 741.3333129882812, 199.0, 3483.666748046875, 5445.66650390625, 21902.666015625, 389.3333435058594, 2091.666748046875, 135.6666717529297, 462.3333435058594, 606.3333129882812, 320.0, 201.0, 134.3333282470703, 36845.0, 145.6666717529297, 199.6666717529297, 320.3333435058594, 1296.6666259765625, 255.6666717529297, 749.3333129882812, 14827.0, 419.6666564941406, 296.6666564941406, 1406.6666259765625, 765.0, 1743.6666259765625, 562.6666870117188, 491.6666564941406]"
211,16.780000686645508,316.23616303710935,MSV000094528,5.0--21,5.0--16,-0.01,0.002,0.005,0.75,0.92,0.845252,4.63,EXP,"[55.053989, 68.049185, 69.06952, 83.072602, 96.080401]",YGBYBSHWAZLRHD-UHFFFAOYSA-N,"[149.13441467285156, 137.09866333007812, 111.11872100830078, 111.0822982788086, 105.07683563232422, 97.06124114990234, 96.09085845947266, 95.08856201171875, 92.0596923828125, 84.0903091430664, 83.0877914428711, 69.07249450683594, 69.05339813232422, 69.03423309326172, 68.05897521972656, 55.05681228637695]","[923.6666870117188, 525.0, 352.3333435058594, 464.3333435058594, 681.0, 123.0, 471.6666564941406, 4539.0, 268.0, 282.0, 2496.666748046875, 5016.0, 186.6666717529297, 168.0, 256.0, 3544.0]"
194,16.72100067138672,318.2531613,MSBNK-Eawag-EQ369903,8.0--47,8.0--31,0.003,0.001,0.002,0.92,0.91,0.8270952,5.11,EXP,"[57.0699, 69.0698, 71.0855, 83.0855, 93.0698, 121.0648, 121.1012, 135.1168]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[336.3251037597656, 287.2351989746094, 288.23919677734375, 270.2314147949219, 269.2242126464844, 336.28759765625, 245.2259979248047, 341.2467041015625, 235.168701171875, 320.2666931152344, 245.2340850830078, 203.18084716796875, 203.14474487304688, 191.18167114257812, 177.16563415527344, 176.1533966064453, 176.1158905029297, 161.0987548828125, 137.09791564941406, 135.12005615234375, 124.12337493896484, 122.1036148071289, 121.10627746582031, 121.08012390136719, 93.07113647460938, 83.08236694335938, 83.04895782470703, 71.08683776855469, 69.07205963134766, 58.07404708862305, 57.07172775268555]","[20333.0, 55992.0, 10821.0, 9351.0, 34621.0, 68171.0, 22894.0, 27775.0, 9187.0, 60948.0, 172.3333282470703, 398.3333435058594, 322.0, 199.6666717529297, 407.0, 225.6666717529297, 123.33333587646484, 969.3333129882812, 493.6666564941406, 2138.666748046875, 106.0, 723.6666870117188, 5275.0, 1645.6666259765625, 7453.0, 1513.3333740234375, 388.0, 508.3333435058594, 2941.666748046875, 106.0, 1305.6666259765625]"
194,16.72100067138672,318.2531613,MoNA-EQ369903,8.0--47,8.0--31,0.003,0.001,0.002,0.92,0.91,0.8270952,5.11,EXP,"[57.0699, 69.0698, 71.0855, 83.0855, 93.0698, 121.0648, 121.1012, 135.1168]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[336.3251037597656, 287.2351989746094, 288.23919677734375, 270.2314147949219, 269.2242126464844, 336.28759765625, 245.2259979248047, 341.2467041015625, 235.168701171875, 320.2666931152344, 245.2340850830078, 203.18084716796875, 203.14474487304688, 191.18167114257812, 177.16563415527344, 176.1533966064453, 176.1158905029297, 161.0987548828125, 137.09791564941406, 135.12005615234375, 124.12337493896484, 122.1036148071289, 121.10627746582031, 121.08012390136719, 93.07113647460938, 83.08236694335938, 83.04895782470703, 71.08683776855469, 69.07205963134766, 58.07404708862305, 57.07172775268555]","[20333.0, 55992.0, 10821.0, 9351.0, 34621.0, 68171.0, 22894.0, 27775.0, 9187.0, 60948.0, 172.3333282470703, 398.3333435058594, 322.0, 199.6666717529297, 407.0, 225.6666717529297, 123.33333587646484, 969.3333129882812, 493.6666564941406, 2138.666748046875, 106.0, 723.6666870117188, 5275.0, 1645.6666259765625, 7453.0, 1513.3333740234375, 388.0, 508.3333435058594, 2941.666748046875, 106.0, 1305.6666259765625]"
194,16.72100067138672,318.2531613,EQ369903,8.0--47,8.0--31,0.003,0.001,0.002,0.92,0.91,0.8270952,5.11,MS2,"[57.0699, 69.0698, 71.0855, 83.0855, 93.0698, 121.0648, 121.1012, 135.1168]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[336.3251037597656, 287.2351989746094, 288.23919677734375, 270.2314147949219, 269.2242126464844, 336.28759765625, 245.2259979248047, 341.2467041015625, 235.168701171875, 320.2666931152344, 245.2340850830078, 203.18084716796875, 203.14474487304688, 191.18167114257812, 177.16563415527344, 176.1533966064453, 176.1158905029297, 161.0987548828125, 137.09791564941406, 135.12005615234375, 124.12337493896484, 122.1036148071289, 121.10627746582031, 121.08012390136719, 93.07113647460938, 83.08236694335938, 83.04895782470703, 71.08683776855469, 69.07205963134766, 58.07404708862305, 57.07172775268555]","[20333.0, 55992.0, 10821.0, 9351.0, 34621.0, 68171.0, 22894.0, 27775.0, 9187.0, 60948.0, 172.3333282470703, 398.3333435058594, 322.0, 199.6666717529297, 407.0, 225.6666717529297, 123.33333587646484, 969.3333129882812, 493.6666564941406, 2138.666748046875, 106.0, 723.6666870117188, 5275.0, 1645.6666259765625, 7453.0, 1513.3333740234375, 388.0, 508.3333435058594, 2941.666748046875, 106.0, 1305.6666259765625]"
