ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
343,17.125999450683594,337.3311642578125,FIO00883,28.0--60,28.0--52,0.003,0.002,0.003,1,0.92,0.8728113,5.7,MS2,"[95.0861, 100.0761, 109.1012, 111.1168, 114.0914, 125.1325, 128.107, 136.1203, 137.1324, 151.1481, 177.1641, 184.1699, 191.1798, 195.1746, 198.1856, 205.1953, 226.2169, 233.2267, 247.2424, 261.258, 265.253, 279.2683, 304.3086, 321.3157, 322.3193, 338.3423, 339.3457, 340.3487]",UAUDZVJPLUQNMU-KTKRTIGZSA-N,"[338.297607421875, 339.343994140625, 360.32330322265625, 340.34698486328125, 321.318603515625, 322.3182067871094, 338.36920166015625, 338.3445129394531, 322.3209228515625, 320.33270263671875, 304.3093566894531, 297.33770751953125, 296.3338928222656, 279.2709045410156, 265.2549743652344, 261.2610778808594, 247.2449951171875, 233.22872924804688, 226.23020935058594, 205.19308471679688, 198.18756103515625, 195.17596435546875, 191.18179321289062, 184.17105102539062, 177.16661071777344, 170.19261169433594, 151.14561462402344, 138.13525390625, 137.13433837890625, 136.122802734375, 128.1099395751953, 126.10778045654297, 125.12284088134766, 122.11373901367188, 114.10047912597656, 114.09073638916016, 112.12154388427734, 111.11970520019531, 110.10263061523438, 109.11190795898438, 100.1131591796875, 100.07890319824219, 98.07429504394531, 95.08850860595703, 85.10419464111328, 83.08863830566406, 72.08415222167969, 71.09912109375, 71.08716583251953, 58.071571350097656, 57.072784423828125, 56.06084060668945]","[5190.0, 149214.0, 59224.0, 23134.0, 21007.0, 7999.0, 7830.0, 618.6666870117188, 160.0, 321.0, 214.3333282470703, 246.3333282470703, 651.6666870117188, 145.6666717529297, 185.6666717529297, 199.6666717529297, 280.0, 280.6666564941406, 172.3333282470703, 293.3333435058594, 185.6666717529297, 279.3333435058594, 434.0, 292.3333435058594, 748.0, 132.6666717529297, 361.6666564941406, 174.6666717529297, 686.3333129882812, 973.6666870117188, 1534.6666259765625, 309.3333435058594, 794.3333129882812, 171.6666717529297, 1805.3333740234375, 2614.666748046875, 407.3333435058594, 2134.0, 418.6666564941406, 558.3333129882812, 292.3333435058594, 2966.0, 281.0, 6125.66650390625, 3264.666748046875, 13481.0, 1243.6666259765625, 220.3333282470703, 7203.66650390625, 787.3333129882812, 14094.3330078125, 344.0]"
343,17.125999450683594,337.3311642578125,FIO00884,16.0--32,16.0--52,0.003,0.003,0.005,0.97,0.91,0.8665069,5.33,MS2,"[95.0864, 100.0762, 109.1015, 111.1171, 114.0916, 125.0963, 128.1072, 136.1203, 137.1325, 177.1638, 184.17, 191.1797, 198.1858, 296.3312, 321.3148, 338.3418]",UAUDZVJPLUQNMU-KTKRTIGZSA-N,"[338.297607421875, 339.343994140625, 360.32330322265625, 340.34698486328125, 321.318603515625, 322.3182067871094, 338.36920166015625, 338.3445129394531, 322.3209228515625, 320.33270263671875, 304.3093566894531, 297.33770751953125, 296.3338928222656, 279.2709045410156, 265.2549743652344, 261.2610778808594, 247.2449951171875, 233.22872924804688, 226.23020935058594, 205.19308471679688, 198.18756103515625, 195.17596435546875, 191.18179321289062, 184.17105102539062, 177.16661071777344, 170.19261169433594, 151.14561462402344, 138.13525390625, 137.13433837890625, 136.122802734375, 128.1099395751953, 126.10778045654297, 125.12284088134766, 122.11373901367188, 114.10047912597656, 114.09073638916016, 112.12154388427734, 111.11970520019531, 110.10263061523438, 109.11190795898438, 100.1131591796875, 100.07890319824219, 98.07429504394531, 95.08850860595703, 85.10419464111328, 83.08863830566406, 72.08415222167969, 71.09912109375, 71.08716583251953, 58.071571350097656, 57.072784423828125, 56.06084060668945]","[5190.0, 149214.0, 59224.0, 23134.0, 21007.0, 7999.0, 7830.0, 618.6666870117188, 160.0, 321.0, 214.3333282470703, 246.3333282470703, 651.6666870117188, 145.6666717529297, 185.6666717529297, 199.6666717529297, 280.0, 280.6666564941406, 172.3333282470703, 293.3333435058594, 185.6666717529297, 279.3333435058594, 434.0, 292.3333435058594, 748.0, 132.6666717529297, 361.6666564941406, 174.6666717529297, 686.3333129882812, 973.6666870117188, 1534.6666259765625, 309.3333435058594, 794.3333129882812, 171.6666717529297, 1805.3333740234375, 2614.666748046875, 407.3333435058594, 2134.0, 418.6666564941406, 558.3333129882812, 292.3333435058594, 2966.0, 281.0, 6125.66650390625, 3264.666748046875, 13481.0, 1243.6666259765625, 220.3333282470703, 7203.66650390625, 787.3333129882812, 14094.3330078125, 344.0]"
321,16.76799964904785,318.2540768554687,MSBNK-Eawag-EQ369903,5.0--47,5.0--16,0.002,0,0.001,0.92,0.82,0.8454807,5.07,EXP,"[79.0542, 93.0698, 119.0856, 121.1012, 135.0804]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[287.23760986328125, 320.26739501953125, 341.247314453125, 336.29010009765625, 147.119140625, 135.08084106445312, 133.103759765625, 121.1077651977539, 121.10161590576172, 119.08807373046875, 107.08612823486328, 93.0767822265625, 93.07096862792969, 82.07460021972656, 79.06024169921875, 68.05908966064453]","[7045.0, 19524.0, 5306.0, 8838.0, 646.6666870117188, 279.0, 941.6666870117188, 508.3333435058594, 817.6666870117188, 1134.3333740234375, 681.6666870117188, 469.0, 1386.6666259765625, 175.6666717529297, 344.6666564941406, 83.33333587646484]"
321,16.76799964904785,318.2540768554687,MoNA-EQ369903,5.0--47,5.0--16,0.002,0,0.001,0.92,0.82,0.8454807,5.07,EXP,"[79.0542, 93.0698, 119.0856, 121.1012, 135.0804]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[287.23760986328125, 320.26739501953125, 341.247314453125, 336.29010009765625, 147.119140625, 135.08084106445312, 133.103759765625, 121.1077651977539, 121.10161590576172, 119.08807373046875, 107.08612823486328, 93.0767822265625, 93.07096862792969, 82.07460021972656, 79.06024169921875, 68.05908966064453]","[7045.0, 19524.0, 5306.0, 8838.0, 646.6666870117188, 279.0, 941.6666870117188, 508.3333435058594, 817.6666870117188, 1134.3333740234375, 681.6666870117188, 469.0, 1386.6666259765625, 175.6666717529297, 344.6666564941406, 83.33333587646484]"
321,16.76799964904785,318.2540768554687,EQ369903,5.0--47,5.0--16,0.002,0,0.001,0.92,0.82,0.8454807,5.07,MS2,"[79.0542, 93.0698, 119.0856, 121.1012, 135.0804]",ZWWRREXSUJTKNN-UHFFFAOYSA-N,"[287.23760986328125, 320.26739501953125, 341.247314453125, 336.29010009765625, 147.119140625, 135.08084106445312, 133.103759765625, 121.1077651977539, 121.10161590576172, 119.08807373046875, 107.08612823486328, 93.0767822265625, 93.07096862792969, 82.07460021972656, 79.06024169921875, 68.05908966064453]","[7045.0, 19524.0, 5306.0, 8838.0, 646.6666870117188, 279.0, 941.6666870117188, 508.3333435058594, 817.6666870117188, 1134.3333740234375, 681.6666870117188, 469.0, 1386.6666259765625, 175.6666717529297, 344.6666564941406, 83.33333587646484]"
23,0.11800000071525574,219.14576997070313,MSV000094528,19.0--64,19.0--44,0.001,0.001,0.001,0.99,0.95,0.83869153,5.52,EXP,"[56.049289, 58.064876, 60.044128, 68.049148, 69.033172, 70.064804, 71.048812, 72.044021, 72.080429, 74.059692, 82.064781, 84.080329, 86.059646, 100.075363, 110.059684, 116.070335, 128.070434, 142.086166, 158.117263]",UQRORFVVSGFNRO-UTINFBMNSA-N,"[221.1479949951172, 170.12049865722656, 165.07240295410156, 158.1195068359375, 148.09963989257812, 145.06692504882812, 142.08766174316406, 140.1087188720703, 138.09393310546875, 132.10519409179688, 130.0885009765625, 128.108154296875, 128.07119750976562, 126.09327697753906, 121.06556701660156, 120.08070373535156, 118.0877685546875, 116.07247161865234, 110.06175231933594, 108.08412170410156, 107.05001831054688, 105.07211303710938, 104.07308197021484, 102.0925521850586, 100.07957458496094, 100.07601165771484, 95.05253601074219, 91.05513763427734, 88.07787322998047, 88.07437896728516, 86.06148529052734, 85.06513977050781, 84.08257293701172, 82.06780242919922, 74.06175994873047, 72.08277130126953, 72.04684448242188, 71.05055236816406, 70.06666564941406, 69.03804779052734, 68.05026245117188, 60.04597854614258, 58.06796646118164, 56.050445556640625]","[4423.0, 119.0, 92.66666412353516, 79.33333587646484, 79.33333587646484, 92.66666412353516, 132.3333282470703, 132.3333282470703, 106.0, 106.33333587646484, 159.6666717529297, 119.0, 92.66666412353516, 214.6666717529297, 174.0, 92.66666412353516, 213.6666717529297, 132.3333282470703, 93.66666412353516, 92.66666412353516, 145.6666717529297, 257.6666564941406, 200.3333282470703, 175.3333282470703, 135.3333282470703, 214.6666717529297, 204.0, 344.3333435058594, 460.0, 250.0, 232.0, 92.66666412353516, 201.0, 187.3333282470703, 468.3333435058594, 159.0, 189.3333282470703, 430.0, 347.6666564941406, 187.6666717529297, 108.66666412353516, 224.0, 592.3333129882812, 370.6666564941406]"
23,0.11800000071525574,219.14576997070313,MSV000094528,20.0--70,20.0--44,0.001,0.001,0.001,0.98,0.95,0.83869153,5.52,EXP,"[56.049255, 58.064868, 60.044109, 68.049148, 69.033157, 70.064826, 71.048828, 72.044013, 72.080413, 74.059677, 82.06475, 86.059661, 100.075325, 110.0597, 116.070312, 128.070251, 128.106704, 140.106689, 142.08609, 158.117202]",UQRORFVVSGFNRO-UTINFBMNSA-N,"[221.1479949951172, 170.12049865722656, 165.07240295410156, 158.1195068359375, 148.09963989257812, 145.06692504882812, 142.08766174316406, 140.1087188720703, 138.09393310546875, 132.10519409179688, 130.0885009765625, 128.108154296875, 128.07119750976562, 126.09327697753906, 121.06556701660156, 120.08070373535156, 118.0877685546875, 116.07247161865234, 110.06175231933594, 108.08412170410156, 107.05001831054688, 105.07211303710938, 104.07308197021484, 102.0925521850586, 100.07957458496094, 100.07601165771484, 95.05253601074219, 91.05513763427734, 88.07787322998047, 88.07437896728516, 86.06148529052734, 85.06513977050781, 84.08257293701172, 82.06780242919922, 74.06175994873047, 72.08277130126953, 72.04684448242188, 71.05055236816406, 70.06666564941406, 69.03804779052734, 68.05026245117188, 60.04597854614258, 58.06796646118164, 56.050445556640625]","[4423.0, 119.0, 92.66666412353516, 79.33333587646484, 79.33333587646484, 92.66666412353516, 132.3333282470703, 132.3333282470703, 106.0, 106.33333587646484, 159.6666717529297, 119.0, 92.66666412353516, 214.6666717529297, 174.0, 92.66666412353516, 213.6666717529297, 132.3333282470703, 93.66666412353516, 92.66666412353516, 145.6666717529297, 257.6666564941406, 200.3333282470703, 175.3333282470703, 135.3333282470703, 214.6666717529297, 204.0, 344.3333435058594, 460.0, 250.0, 232.0, 92.66666412353516, 201.0, 187.3333282470703, 468.3333435058594, 159.0, 189.3333282470703, 430.0, 347.6666564941406, 187.6666717529297, 108.66666412353516, 224.0, 592.3333129882812, 370.6666564941406]"
23,0.11800000071525574,219.14576997070313,MSV000094528,20.0--74,20.0--44,0.001,0.001,0.001,0.98,0.95,0.83869153,5.51,EXP,"[56.049255, 58.06487, 60.044112, 68.049146, 69.03316, 70.064826, 71.048828, 72.044013, 72.080413, 74.059689, 82.064749, 86.059655, 100.075319, 110.059708, 116.070302, 128.070235, 128.106704, 140.106689, 142.08609, 158.117207]",UQRORFVVSGFNRO-UTINFBMNSA-N,"[221.1479949951172, 170.12049865722656, 165.07240295410156, 158.1195068359375, 148.09963989257812, 145.06692504882812, 142.08766174316406, 140.1087188720703, 138.09393310546875, 132.10519409179688, 130.0885009765625, 128.108154296875, 128.07119750976562, 126.09327697753906, 121.06556701660156, 120.08070373535156, 118.0877685546875, 116.07247161865234, 110.06175231933594, 108.08412170410156, 107.05001831054688, 105.07211303710938, 104.07308197021484, 102.0925521850586, 100.07957458496094, 100.07601165771484, 95.05253601074219, 91.05513763427734, 88.07787322998047, 88.07437896728516, 86.06148529052734, 85.06513977050781, 84.08257293701172, 82.06780242919922, 74.06175994873047, 72.08277130126953, 72.04684448242188, 71.05055236816406, 70.06666564941406, 69.03804779052734, 68.05026245117188, 60.04597854614258, 58.06796646118164, 56.050445556640625]","[4423.0, 119.0, 92.66666412353516, 79.33333587646484, 79.33333587646484, 92.66666412353516, 132.3333282470703, 132.3333282470703, 106.0, 106.33333587646484, 159.6666717529297, 119.0, 92.66666412353516, 214.6666717529297, 174.0, 92.66666412353516, 213.6666717529297, 132.3333282470703, 93.66666412353516, 92.66666412353516, 145.6666717529297, 257.6666564941406, 200.3333282470703, 175.3333282470703, 135.3333282470703, 214.6666717529297, 204.0, 344.3333435058594, 460.0, 250.0, 232.0, 92.66666412353516, 201.0, 187.3333282470703, 468.3333435058594, 159.0, 189.3333282470703, 430.0, 347.6666564941406, 187.6666717529297, 108.66666412353516, 224.0, 592.3333129882812, 370.6666564941406]"
23,0.11800000071525574,219.14576997070313,MSV000094528,18.0--54,18.0--44,0.001,0.001,0.001,0.98,0.95,0.83869153,5.51,EXP,"[56.049148, 58.064807, 60.044052, 68.049079, 69.033065, 70.06472, 71.048744, 72.04393, 72.080375, 74.059593, 82.064682, 84.080238, 86.059608, 100.075241, 110.059654, 116.070121, 128.070083, 158.117126]",UQRORFVVSGFNRO-UTINFBMNSA-N,"[221.1479949951172, 170.12049865722656, 165.07240295410156, 158.1195068359375, 148.09963989257812, 145.06692504882812, 142.08766174316406, 140.1087188720703, 138.09393310546875, 132.10519409179688, 130.0885009765625, 128.108154296875, 128.07119750976562, 126.09327697753906, 121.06556701660156, 120.08070373535156, 118.0877685546875, 116.07247161865234, 110.06175231933594, 108.08412170410156, 107.05001831054688, 105.07211303710938, 104.07308197021484, 102.0925521850586, 100.07957458496094, 100.07601165771484, 95.05253601074219, 91.05513763427734, 88.07787322998047, 88.07437896728516, 86.06148529052734, 85.06513977050781, 84.08257293701172, 82.06780242919922, 74.06175994873047, 72.08277130126953, 72.04684448242188, 71.05055236816406, 70.06666564941406, 69.03804779052734, 68.05026245117188, 60.04597854614258, 58.06796646118164, 56.050445556640625]","[4423.0, 119.0, 92.66666412353516, 79.33333587646484, 79.33333587646484, 92.66666412353516, 132.3333282470703, 132.3333282470703, 106.0, 106.33333587646484, 159.6666717529297, 119.0, 92.66666412353516, 214.6666717529297, 174.0, 92.66666412353516, 213.6666717529297, 132.3333282470703, 93.66666412353516, 92.66666412353516, 145.6666717529297, 257.6666564941406, 200.3333282470703, 175.3333282470703, 135.3333282470703, 214.6666717529297, 204.0, 344.3333435058594, 460.0, 250.0, 232.0, 92.66666412353516, 201.0, 187.3333282470703, 468.3333435058594, 159.0, 189.3333282470703, 430.0, 347.6666564941406, 187.6666717529297, 108.66666412353516, 224.0, 592.3333129882812, 370.6666564941406]"
23,0.11800000071525574,219.14576997070313,MSV000094528,19.0--68,19.0--44,0.001,0.001,0.001,0.99,0.95,0.83869153,5.5,EXP,"[56.049289, 58.064869, 60.044127, 68.049147, 69.033167, 70.064804, 71.048812, 72.044021, 72.080429, 74.059692, 82.064781, 84.080329, 86.05965, 100.07534, 110.05968, 116.070335, 128.070434, 142.086166, 158.117223]",UQRORFVVSGFNRO-UTINFBMNSA-N,"[221.1479949951172, 170.12049865722656, 165.07240295410156, 158.1195068359375, 148.09963989257812, 145.06692504882812, 142.08766174316406, 140.1087188720703, 138.09393310546875, 132.10519409179688, 130.0885009765625, 128.108154296875, 128.07119750976562, 126.09327697753906, 121.06556701660156, 120.08070373535156, 118.0877685546875, 116.07247161865234, 110.06175231933594, 108.08412170410156, 107.05001831054688, 105.07211303710938, 104.07308197021484, 102.0925521850586, 100.07957458496094, 100.07601165771484, 95.05253601074219, 91.05513763427734, 88.07787322998047, 88.07437896728516, 86.06148529052734, 85.06513977050781, 84.08257293701172, 82.06780242919922, 74.06175994873047, 72.08277130126953, 72.04684448242188, 71.05055236816406, 70.06666564941406, 69.03804779052734, 68.05026245117188, 60.04597854614258, 58.06796646118164, 56.050445556640625]","[4423.0, 119.0, 92.66666412353516, 79.33333587646484, 79.33333587646484, 92.66666412353516, 132.3333282470703, 132.3333282470703, 106.0, 106.33333587646484, 159.6666717529297, 119.0, 92.66666412353516, 214.6666717529297, 174.0, 92.66666412353516, 213.6666717529297, 132.3333282470703, 93.66666412353516, 92.66666412353516, 145.6666717529297, 257.6666564941406, 200.3333282470703, 175.3333282470703, 135.3333282470703, 214.6666717529297, 204.0, 344.3333435058594, 460.0, 250.0, 232.0, 92.66666412353516, 201.0, 187.3333282470703, 468.3333435058594, 159.0, 189.3333282470703, 430.0, 347.6666564941406, 187.6666717529297, 108.66666412353516, 224.0, 592.3333129882812, 370.6666564941406]"
