ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
21,0.11800000071525574,223.14247407226563,MSV000094528,5.0--33,5.0--33,0.001,0.001,0.002,0.91,0.86,0.82768905,4.82,EXP,"[56.049255, 59.060218, 68.049163, 69.044425, 83.060058]",HUEYTGWFVYRJTA-UHFFFAOYSA-N,"[202.143798828125, 222.13189697265625, 306.1940002441406, 145.09922790527344, 129.10427856445312, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07839965820312, 88.0747299194336, 86.06214904785156, 84.0830078125, 83.05596923828125, 82.06562042236328, 74.06145477294922, 73.03102111816406, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.07217407226562, 70.0670166015625, 69.04756927490234, 68.05078125, 65.03980255126953, 62.060577392578125, 60.04612350463867, 59.05019760131836, 58.07016372680664, 58.06566619873047, 57.03544998168945, 56.05300521850586, 56.04933166503906]","[4470.0, 4484.0, 3784.0, 92.66666412353516, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 260.6666564941406, 194.3333282470703, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 81.66666412353516, 201.3333282470703, 132.6666717529297, 228.0, 99.66666412353516, 501.6666564941406, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 340.3333435058594, 204.6666717529297, 185.6666717529297, 501.3333435058594, 177.3333282470703, 464.6666564941406, 529.3333129882812]"
21,0.11800000071525574,223.14247407226563,MSV000094528,5.0--48,5.0--33,0.001,0,0.002,0.9,0.86,0.81297714,4.79,EXP,"[56.049255, 59.060218, 68.049168, 69.044425, 83.060058]",HUEYTGWFVYRJTA-UHFFFAOYSA-N,"[202.143798828125, 222.13189697265625, 306.1940002441406, 145.09922790527344, 129.10427856445312, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07839965820312, 88.0747299194336, 86.06214904785156, 84.0830078125, 83.05596923828125, 82.06562042236328, 74.06145477294922, 73.03102111816406, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.07217407226562, 70.0670166015625, 69.04756927490234, 68.05078125, 65.03980255126953, 62.060577392578125, 60.04612350463867, 59.05019760131836, 58.07016372680664, 58.06566619873047, 57.03544998168945, 56.05300521850586, 56.04933166503906]","[4470.0, 4484.0, 3784.0, 92.66666412353516, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 260.6666564941406, 194.3333282470703, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 81.66666412353516, 201.3333282470703, 132.6666717529297, 228.0, 99.66666412353516, 501.6666564941406, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 340.3333435058594, 204.6666717529297, 185.6666717529297, 501.3333435058594, 177.3333282470703, 464.6666564941406, 529.3333129882812]"
21,0.11800000071525574,223.14247407226563,MSV000094528,7.0--68,7.0--33,0.001,0.001,0.002,0.91,0.86,0.7880469,4.85,EXP,"[56.04938, 57.044668, 59.060298, 68.049319, 69.044582, 70.06504, 83.060208]",HUEYTGWFVYRJTA-UHFFFAOYSA-N,"[202.143798828125, 222.13189697265625, 306.1940002441406, 145.09922790527344, 129.10427856445312, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07839965820312, 88.0747299194336, 86.06214904785156, 84.0830078125, 83.05596923828125, 82.06562042236328, 74.06145477294922, 73.03102111816406, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.07217407226562, 70.0670166015625, 69.04756927490234, 68.05078125, 65.03980255126953, 62.060577392578125, 60.04612350463867, 59.05019760131836, 58.07016372680664, 58.06566619873047, 57.03544998168945, 56.05300521850586, 56.04933166503906]","[4470.0, 4484.0, 3784.0, 92.66666412353516, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 260.6666564941406, 194.3333282470703, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 81.66666412353516, 201.3333282470703, 132.6666717529297, 228.0, 99.66666412353516, 501.6666564941406, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 340.3333435058594, 204.6666717529297, 185.6666717529297, 501.3333435058594, 177.3333282470703, 464.6666564941406, 529.3333129882812]"
8,0.11800000071525574,179.11517609863282,MSV000094528,3.0--39,3.0--30,-0.009,0,0,0.9,0.84,0.7745543,4.32,EXP,"[56.049221, 58.064807, 82.064918]",NYMGNSNKLVNMIA-UHFFFAOYSA-N,"[178.1071014404297, 262.1662902832031, 145.09922790527344, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07903289794922, 88.07533264160156, 86.06136322021484, 84.0830078125, 83.053955078125, 82.06562042236328, 74.06145477294922, 73.03197479248047, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.06829071044922, 70.06448364257812, 69.04654693603516, 68.05036926269531, 65.03980255126953, 62.0610466003418, 60.04776382446289, 60.044898986816406, 59.05019760131836, 58.06669235229492, 57.03544998168945, 56.051246643066406]","[5851.0, 4193.0, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 245.6666717529297, 249.0, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 80.0, 201.3333282470703, 132.6666717529297, 228.0, 399.0, 488.3333435058594, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 243.6666717529297, 323.6666564941406, 204.6666717529297, 541.0, 177.3333282470703, 601.3333129882812]"
8,0.11800000071525574,179.11517609863282,MSV000094528,3.0--43,3.0--30,-0.009,0,0,0.9,0.84,0.7745543,4.31,EXP,"[56.049221, 58.064807, 82.064918]",NYMGNSNKLVNMIA-UHFFFAOYSA-N,"[178.1071014404297, 262.1662902832031, 145.09922790527344, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07903289794922, 88.07533264160156, 86.06136322021484, 84.0830078125, 83.053955078125, 82.06562042236328, 74.06145477294922, 73.03197479248047, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.06829071044922, 70.06448364257812, 69.04654693603516, 68.05036926269531, 65.03980255126953, 62.0610466003418, 60.04776382446289, 60.044898986816406, 59.05019760131836, 58.06669235229492, 57.03544998168945, 56.051246643066406]","[5851.0, 4193.0, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 245.6666717529297, 249.0, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 80.0, 201.3333282470703, 132.6666717529297, 228.0, 399.0, 488.3333435058594, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 243.6666717529297, 323.6666564941406, 204.6666717529297, 541.0, 177.3333282470703, 601.3333129882812]"
8,0.11800000071525574,179.11517609863282,MSV000094528,3.0--40,3.0--30,-0.009,0,0,0.92,0.84,0.7737298,4.34,EXP,"[56.049289, 58.064994, 65.038368]",NYMGNSNKLVNMIA-UHFFFAOYSA-N,"[178.1071014404297, 262.1662902832031, 145.09922790527344, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07903289794922, 88.07533264160156, 86.06136322021484, 84.0830078125, 83.053955078125, 82.06562042236328, 74.06145477294922, 73.03197479248047, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.06829071044922, 70.06448364257812, 69.04654693603516, 68.05036926269531, 65.03980255126953, 62.0610466003418, 60.04776382446289, 60.044898986816406, 59.05019760131836, 58.06669235229492, 57.03544998168945, 56.051246643066406]","[5851.0, 4193.0, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 245.6666717529297, 249.0, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 80.0, 201.3333282470703, 132.6666717529297, 228.0, 399.0, 488.3333435058594, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 243.6666717529297, 323.6666564941406, 204.6666717529297, 541.0, 177.3333282470703, 601.3333129882812]"
21,0.11800000071525574,223.14247407226563,MSV000094528,4.0--95,4.0--33,0.002,0,0.001,0.89,0.86,0.76848996,4.76,EXP,"[58.064902, 65.038459, 72.038782, 72.080383]",ALWKGYPQUAPLQC-UHFFFAOYSA-N,"[202.143798828125, 222.13189697265625, 306.1940002441406, 145.09922790527344, 129.10427856445312, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07839965820312, 88.0747299194336, 86.06214904785156, 84.0830078125, 83.05596923828125, 82.06562042236328, 74.06145477294922, 73.03102111816406, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.07217407226562, 70.0670166015625, 69.04756927490234, 68.05078125, 65.03980255126953, 62.060577392578125, 60.04612350463867, 59.05019760131836, 58.07016372680664, 58.06566619873047, 57.03544998168945, 56.05300521850586, 56.04933166503906]","[4470.0, 4484.0, 3784.0, 92.66666412353516, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 260.6666564941406, 194.3333282470703, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 81.66666412353516, 201.3333282470703, 132.6666717529297, 228.0, 99.66666412353516, 501.6666564941406, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 340.3333435058594, 204.6666717529297, 185.6666717529297, 501.3333435058594, 177.3333282470703, 464.6666564941406, 529.3333129882812]"
64,0.8140000104904175,121.07287873535157,MSV000094528,5.0--34,5.0--13,0.001,0.001,0.002,0.97,0.85,0.7660121,5.08,EXP,"[56.049385, 104.070481, 104.077522, 105.069853, 122.096794]",LENZDBCJOHFCAS-UHFFFAOYSA-N,"[104.0791015625, 104.08000183105469, 104.0696029663086, 105.07350158691406, 122.09300231933594, 104.0790023803711, 56.04790115356445, 123.08519744873047, 104.10710144042969, 122.09300231933594, 104.08329772949219, 122.09200286865234, 56.04930114746094]","[5424.0, 4548.0, 55876.0, 8670.0, 10649.0, 13628.0, 9314.0, 18751.0, 10473.0, 11662.0, 3717.0, 12255.0, 4061.0]"
8,0.11800000071525574,179.11517609863282,MSV000094528,3.0--44,3.0--30,-0.009,0,0,0.93,0.84,0.76280737,4.34,EXP,"[56.049194, 58.064804, 65.038253]",NYMGNSNKLVNMIA-UHFFFAOYSA-N,"[178.1071014404297, 262.1662902832031, 145.09922790527344, 116.07229614257812, 114.08965301513672, 102.09184265136719, 100.07691192626953, 88.07903289794922, 88.07533264160156, 86.06136322021484, 84.0830078125, 83.053955078125, 82.06562042236328, 74.06145477294922, 73.03197479248047, 72.08111572265625, 72.04573822021484, 71.05081939697266, 70.06829071044922, 70.06448364257812, 69.04654693603516, 68.05036926269531, 65.03980255126953, 62.0610466003418, 60.04776382446289, 60.044898986816406, 59.05019760131836, 58.06669235229492, 57.03544998168945, 56.051246643066406]","[5851.0, 4193.0, 92.66666412353516, 79.33333587646484, 107.33333587646484, 174.3333282470703, 80.0, 245.6666717529297, 249.0, 174.0, 122.66666412353516, 106.0, 93.33333587646484, 436.3333435058594, 80.0, 201.3333282470703, 132.6666717529297, 228.0, 399.0, 488.3333435058594, 107.66666412353516, 147.6666717529297, 121.33333587646484, 93.0, 243.6666717529297, 323.6666564941406, 204.6666717529297, 541.0, 177.3333282470703, 601.3333129882812]"
26,0.11800000071525574,303.17158784179685,MSV000094528,6.0--150,6.0--14,0.002,0.001,0.003,0.96,0.84,0.75770664,5.09,EXP,"[92.049324, 102.033645, 145.075741, 241.075883, 285.137817, 288.150859]",ZQUCBBBNYJHDOB-UHFFFAOYSA-N,"[252.1802978515625, 288.15118408203125, 285.11993408203125, 275.12646484375, 265.12469482421875, 263.1082458496094, 241.0864715576172, 239.1129913330078, 228.129638671875, 203.10769653320312, 145.0670623779297, 102.0570068359375, 92.06926727294922, 88.07807922363281]","[4308.0, 79.33333587646484, 119.0, 159.0, 172.3333282470703, 132.3333282470703, 119.0, 120.66666412353516, 132.3333282470703, 145.6666717529297, 136.0, 146.3333282470703, 185.6666717529297, 119.33333587646484]"
