ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
28,0.11800000071525574,305.1861752441406,MSV000094528,23.0--68,23.0--66,-0.001,0.002,0.004,0.97,0.96,0.8637432,5.38,EXP,"[55.028969, 56.049361, 57.044545, 58.064988, 67.05404, 68.049301, 69.044517, 70.06496, 71.060174, 72.044187, 79.054019, 80.049367, 81.044503, 82.064859, 83.060173, 91.054032, 93.069723, 94.064996, 95.049134, 96.080642, 97.075895, 98.071233, 122.096473]",PKEDZFHFEJYKJF-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
28,0.11800000071525574,305.1861752441406,MSV000094528,23.0--64,23.0--66,-0.001,0.002,0.005,0.97,0.96,0.8637432,5.33,EXP,"[55.029136, 56.049484, 57.044757, 58.065124, 67.054183, 68.049491, 69.044685, 70.065078, 71.060333, 72.044349, 79.054183, 80.049484, 81.04467, 82.065132, 83.060371, 91.054244, 93.069931, 94.065147, 95.049385, 97.076049, 98.071418, 122.096473, 126.066398]",PKEDZFHFEJYKJF-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
28,0.11800000071525574,305.1861752441406,MSV000094528,25.0--76,25.0--66,-0.009,0.002,0.004,0.92,0.96,0.86187714,5.17,EXP,"[56.049223, 57.057018, 58.064869, 68.049133, 69.057005, 70.06479, 71.060111, 72.044063, 72.080434, 74.059753, 80.049118, 82.064752, 83.060028, 84.068092, 85.075553, 86.059677, 88.075334, 94.064756, 96.080398, 97.075622, 98.059684, 100.068649, 102.091011, 126.091026, 141.102072]",CVFZAGXPSLVCFK-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
28,0.11800000071525574,305.1861752441406,MSV000094528,25.0--58,25.0--66,-0.009,0.003,0.005,0.97,0.97,0.8579696,5.3,EXP,"[56.049217, 57.057018, 58.064865, 68.049133, 69.056953, 70.064773, 71.060111, 72.044059, 72.080421, 74.059753, 80.049118, 82.06475, 83.060028, 84.068092, 85.075553, 86.059661, 88.075325, 94.064628, 96.080398, 97.075622, 98.059684, 100.075355, 102.091011, 126.091026, 141.102066]",CVFZAGXPSLVCFK-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
28,0.11800000071525574,305.1861752441406,MSV000094528,25.0--61,25.0--66,-0.009,0.003,0.005,0.97,0.97,0.8579696,5.28,EXP,"[56.049223, 57.057018, 58.06487, 68.049133, 69.057005, 70.064787, 71.060111, 72.044063, 72.080426, 74.059753, 80.049118, 82.064752, 83.060028, 84.068092, 85.075553, 86.059668, 88.075333, 94.064756, 96.080398, 97.075622, 98.059684, 100.068649, 102.091011, 126.091026, 141.102039]",CVFZAGXPSLVCFK-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
28,0.11800000071525574,305.1861752441406,MSV000094528,24.0--64,24.0--66,-0.008,0.002,0.005,0.97,0.97,0.8579696,5.23,EXP,"[55.017627, 57.03329, 65.038444, 67.053909, 69.069554, 71.04895, 79.05391, 81.069583, 83.048808, 91.053903, 93.069602, 95.048829, 97.064472, 103.053947, 104.049171, 105.069569, 109.064369, 115.054069, 117.069668, 118.065238, 119.085052, 128.061813, 141.079223, 145.100936]",XCTUOBOQUJSQJX-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
28,0.11800000071525574,305.1861752441406,MSV000094528,24.0--68,24.0--66,-0.008,0.002,0.005,0.97,0.97,0.8579696,5.21,EXP,"[55.017627, 57.03329, 65.038444, 67.053909, 69.069541, 71.04895, 79.053909, 81.069572, 83.048805, 91.053901, 93.069602, 95.04882, 97.064468, 103.053947, 104.049171, 105.069564, 109.064369, 115.054069, 117.069648, 118.065238, 119.085052, 128.061813, 141.079223, 145.100936]",XCTUOBOQUJSQJX-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
28,0.11800000071525574,305.1861752441406,MSV000094528,29.0--104,29.0--66,-0.007,0.002,0.005,0.93,0.96,0.8498805,5.24,EXP,"[55.017696, 56.049297, 57.033265, 58.064994, 61.010528, 65.038278, 67.053935, 68.049179, 69.033201, 69.069597, 70.064846, 79.053962, 81.069612, 82.064902, 83.028869, 83.048849, 84.044242, 84.080506, 85.064516, 86.059661, 94.064926, 95.048965, 96.080513, 97.06465, 98.059788, 103.054008, 109.044595, 115.054094, 130.086001]",TVKCWHOPVXSDCU-UHFFFAOYSA-N,"[262.1676940917969, 173.132080078125, 159.1151885986328, 158.1212158203125, 156.10244750976562, 145.1002960205078, 144.10435485839844, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.10528564453125, 120.08404541015625, 119.0872573852539, 118.08770751953125, 117.07080841064453, 116.08767700195312, 115.0566177368164, 109.06902313232422, 105.0721206665039, 104.07252502441406, 103.05862426757812, 103.0555191040039, 102.09355926513672, 100.07808685302734, 98.06163024902344, 97.0754623413086, 96.08346557617188, 95.04902648925781, 94.06930541992188, 94.05740356445312, 93.07060241699219, 91.05714416503906, 88.0783462524414, 86.06890106201172, 85.064208984375, 85.03116607666016, 84.07833099365234, 84.04603576660156, 83.07462310791016, 83.05157470703125, 82.06726837158203, 81.0701675415039, 80.05450439453125, 79.05662536621094, 76.07752990722656, 74.06241607666016, 72.0822525024414, 72.04781341552734, 71.05284118652344, 70.06761169433594, 69.0714111328125, 69.04058074951172, 68.0521469116211, 67.05620574951172, 65.03868103027344, 61.02874755859375, 60.04561996459961, 58.06850051879883, 57.0330924987793, 56.05269241333008, 56.0474853515625, 55.019386291503906]","[4388.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 172.3333282470703, 201.0, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 92.66666412353516, 120.66666412353516, 268.6666564941406, 120.66666412353516, 120.0, 147.6666717529297, 159.0, 204.3333282470703, 162.3333282470703, 79.33333587646484, 92.66666412353516, 220.3333282470703, 286.0, 159.0, 109.66666412353516, 175.0, 226.0, 190.3333282470703, 95.0, 379.6666564941406, 452.0, 689.0, 369.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 82.0, 237.3333282470703, 239.0, 414.3333435058594, 148.3333282470703, 524.0, 214.0, 1628.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 294.6666564941406, 437.3333435058594, 274.3333435058594, 696.3333129882812, 132.6666717529297, 93.0, 456.6666564941406, 1197.0, 229.0, 1064.3333740234375, 91.33333587646484, 392.6666564941406]"
26,0.11800000071525574,265.1523617675781,MetabolitesVS19-242779,29.0--119,29.0--73,-0.009,0.001,0.003,0.99,0.95,0.84581673,5.05,EXP,"[71.048, 79.053, 80.057, 83.049, 91.054, 93.07, 94.074, 95.049, 97.065, 103.054, 104.062, 105.07, 109.065, 115.055, 116.062, 117.07, 118.076, 119.086, 120.09, 122.109, 128.063, 130.078, 132.091, 144.093, 145.102, 156.094, 158.11, 159.118, 173.134]",KFKSQOIZZRZEFC-BZFAMWISSA-N,"[210.13290405273438, 222.17100524902344, 224.1468048095703, 238.1656036376953, 173.132080078125, 159.11602783203125, 158.1212158203125, 156.10244750976562, 145.09912109375, 144.10707092285156, 144.10232543945312, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.09204864501953, 119.0872573852539, 118.08879089355469, 118.07947540283203, 117.07247924804688, 116.07161712646484, 115.0566177368164, 109.0677719116211, 105.07518005371094, 105.07160186767578, 104.07252502441406, 103.057373046875, 102.09355926513672, 100.08164978027344, 100.0773696899414, 98.0622787475586, 97.07305145263672, 96.0817642211914, 95.05241394042969, 94.06841278076172, 93.07123565673828, 91.05714416503906, 88.0783462524414, 86.0621109008789, 85.064208984375, 85.03116607666016, 84.08232116699219, 84.04637908935547, 83.05441284179688, 83.04920196533203, 82.06726837158203, 80.051513671875, 79.05828094482422, 79.05349731445312, 76.07752990722656, 74.06488037109375, 74.05863952636719, 72.0822525024414, 72.04781341552734, 71.05216217041016, 70.06886291503906, 70.06417083740234, 69.0464096069336, 69.0357894897461, 68.0521469116211, 67.05620574951172, 65.0397720336914, 61.02874755859375, 60.04561996459961, 59.05933380126953, 58.06850051879883, 58.03055953979492, 56.05799102783203, 56.051597595214844, 55.019386291503906]","[4461.0, 4866.0, 4667.0, 4843.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 132.6666717529297, 161.3333282470703, 174.3333282470703, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 120.66666412353516, 268.6666564941406, 107.66666412353516, 120.66666412353516, 106.66666412353516, 147.6666717529297, 159.0, 81.66666412353516, 204.3333282470703, 162.3333282470703, 92.66666412353516, 220.3333282470703, 82.33333587646484, 286.0, 159.0, 109.66666412353516, 175.0, 279.0, 190.3333282470703, 379.6666564941406, 452.0, 689.0, 356.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 206.0, 196.0, 239.0, 148.3333282470703, 496.3333435058594, 423.3333435058594, 214.0, 1551.6666259765625, 1270.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 448.0, 383.3333435058594, 367.3333435058594, 274.3333435058594, 696.3333129882812, 173.3333282470703, 93.0, 456.6666564941406, 128.3333282470703, 1197.0, 98.0, 108.33333587646484, 1064.3333740234375, 392.6666564941406]"
26,0.11800000071525574,265.1523617675781,MSV000094528,23.0--53,23.0--73,-0.01,0.002,0.003,0.97,0.96,0.8446155,5.11,EXP,"[55.017639, 56.04924, 58.028533, 58.06491, 65.038291, 67.041351, 68.049179, 69.033226, 70.064842, 72.04409, 72.080459, 79.053932, 80.049217, 82.064849, 83.04882, 84.080467, 85.039344, 94.064872, 95.048858, 96.08049, 97.064552, 100.075485, 127.08638]",NXPQIOXXJRJYHP-BBBLOLIVSA-N,"[210.13290405273438, 222.17100524902344, 224.1468048095703, 238.1656036376953, 173.132080078125, 159.11602783203125, 158.1212158203125, 156.10244750976562, 145.09912109375, 144.10707092285156, 144.10232543945312, 141.10487365722656, 132.10513305664062, 130.08815002441406, 128.06826782226562, 127.0904541015625, 126.09258270263672, 122.09871673583984, 120.09204864501953, 119.0872573852539, 118.08879089355469, 118.07947540283203, 117.07247924804688, 116.07161712646484, 115.0566177368164, 109.0677719116211, 105.07518005371094, 105.07160186767578, 104.07252502441406, 103.057373046875, 102.09355926513672, 100.08164978027344, 100.0773696899414, 98.0622787475586, 97.07305145263672, 96.0817642211914, 95.05241394042969, 94.06841278076172, 93.07123565673828, 91.05714416503906, 88.0783462524414, 86.0621109008789, 85.064208984375, 85.03116607666016, 84.08232116699219, 84.04637908935547, 83.05441284179688, 83.04920196533203, 82.06726837158203, 80.051513671875, 79.05828094482422, 79.05349731445312, 76.07752990722656, 74.06488037109375, 74.05863952636719, 72.0822525024414, 72.04781341552734, 71.05216217041016, 70.06886291503906, 70.06417083740234, 69.0464096069336, 69.0357894897461, 68.0521469116211, 67.05620574951172, 65.0397720336914, 61.02874755859375, 60.04561996459961, 59.05933380126953, 58.06850051879883, 58.03055953979492, 56.05799102783203, 56.051597595214844, 55.019386291503906]","[4461.0, 4866.0, 4667.0, 4843.0, 119.33333587646484, 159.3333282470703, 106.0, 79.33333587646484, 132.6666717529297, 161.3333282470703, 174.3333282470703, 92.66666412353516, 146.6666717529297, 202.6666717529297, 119.66666412353516, 174.3333282470703, 119.33333587646484, 106.0, 92.66666412353516, 120.66666412353516, 268.6666564941406, 107.66666412353516, 120.66666412353516, 106.66666412353516, 147.6666717529297, 159.0, 81.66666412353516, 204.3333282470703, 162.3333282470703, 92.66666412353516, 220.3333282470703, 82.33333587646484, 286.0, 159.0, 109.66666412353516, 175.0, 279.0, 190.3333282470703, 379.6666564941406, 452.0, 689.0, 356.6666564941406, 192.6666717529297, 119.33333587646484, 320.3333435058594, 120.0, 206.0, 196.0, 239.0, 148.3333282470703, 496.3333435058594, 423.3333435058594, 214.0, 1551.6666259765625, 1270.6666259765625, 312.6666564941406, 340.6666564941406, 487.0, 842.0, 448.0, 383.3333435058594, 367.3333435058594, 274.3333435058594, 696.3333129882812, 173.3333282470703, 93.0, 456.6666564941406, 128.3333282470703, 1197.0, 98.0, 108.33333587646484, 1064.3333740234375, 392.6666564941406]"
